a,b,c,d,e,f,g,h,i,j,k
1,5,70.181,0.400,0.001,118.000,144.000,0.450,100,50,20
2,5,70.181,0.400,0.020,118.000,144.000,0.450,100,50,20
3,5,70.181,0.400,0.169,118.000,144.000,0.450,100,50,20
4,5,70.181,0.400,0.171,118.000,144.000,0.450,100,50,20
5,5,65.312,0.635,0.296,150.000,112.000,0.573,100,50,20
6,5,65.312,0.635,0.405,150.000,112.000,0.573,100,50,20
7,5,63.431,0.651,0.545,156.000,106.000,0.595,100,50,20
8,5,63.430,0.651,0.624,156.000,106.000,0.595,100,50,20
9,5,63.430,0.651,0.626,156.000,106.000,0.595,100,50,20
10,5,63.406,0.651,0.627,157.000,105.000,0.599,100,50,20
11,5,63.406,0.651,0.709,157.000,105.000,0.599,100,50,20
12,5,63.406,0.651,0.709,157.000,105.000,0.599,100,50,20
13,5,63.406,0.651,0.710,157.000,105.000,0.599,100,50,20
14,5,63.406,0.651,0.878,157.000,105.000,0.599,100,50,20
15,5,63.315,0.651,0.878,157.000,105.000,0.599,100,50,20
16,5,63.315,0.651,0.914,157.000,105.000,0.599,100,50,20
17,5,63.315,0.651,0.914,157.000,105.000,0.599,100,50,20
18,5,59.882,0.673,0.915,154.000,108.000,0.588,100,50,20
19,5,59.845,0.673,0.915,153.000,109.000,0.584,100,50,20
20,5,53.448,0.673,0.916,154.000,108.000,0.588,100,50,20
21,5,53.158,0.675,0.917,155.000,107.000,0.592,100,50,20
22,5,53.154,0.675,0.917,156.000,106.000,0.595,100,50,20
23,5,53.154,0.675,0.918,156.000,106.000,0.595,100,50,20
24,5,53.154,0.675,0.918,156.000,106.000,0.595,100,50,20
25,5,53.154,0.675,0.919,156.000,106.000,0.595,100,50,20
26,5,53.154,0.675,0.919,156.000,106.000,0.595,100,50,20
27,5,53.154,0.675,0.920,156.000,106.000,0.595,100,50,20
28,5,53.154,0.675,0.920,156.000,106.000,0.595,100,50,20
29,5,53.154,0.675,0.921,156.000,106.000,0.595,100,50,20
30,5,53.152,0.675,0.921,156.000,106.000,0.595,100,50,20
31,5,53.152,0.675,0.922,156.000,106.000,0.595,100,50,20
32,5,53.152,0.675,0.922,156.000,106.000,0.595,100,50,20
33,5,53.152,0.675,0.923,156.000,106.000,0.595,100,50,20
34,5,53.152,0.675,0.923,156.000,106.000,0.595,100,50,20
35,5,53.152,0.675,0.924,156.000,106.000,0.595,100,50,20
36,5,53.152,0.675,0.924,156.000,106.000,0.595,100,50,20
37,5,53.152,0.675,0.925,156.000,106.000,0.595,100,50,20
38,5,53.152,0.675,0.925,156.000,106.000,0.595,100,50,20
39,5,53.152,0.675,0.926,156.000,106.000,0.595,100,50,20
40,5,53.152,0.675,0.926,156.000,106.000,0.595,100,50,20
41,5,53.152,0.675,0.927,156.000,106.000,0.595,100,50,20
42,5,53.152,0.675,0.927,156.000,106.000,0.595,100,50,20
43,5,53.152,0.675,0.928,156.000,106.000,0.595,100,50,20
44,5,53.152,0.675,0.928,156.000,106.000,0.595,100,50,20
45,5,53.149,0.675,1.160,156.000,106.000,0.595,100,50,20
46,5,53.149,0.675,1.161,156.000,106.000,0.595,100,50,20
47,5,53.120,0.675,1.162,156.000,106.000,0.595,100,50,20
48,5,53.120,0.675,1.162,156.000,106.000,0.595,100,50,20
49,5,53.120,0.675,1.163,156.000,106.000,0.595,100,50,20
