a,b,c,d,e,f,g,h,i,j
1,5,64.148,0.659,0.062,161.000,101.000,0.615,0.95,100000
2,5,64.148,0.659,0.063,161.000,101.000,0.615,0.95,100000
3,5,70.305,0.446,0.064,137.000,125.000,0.523,0.95,100000
4,5,68.611,0.458,0.072,140.000,122.000,0.534,0.95,100000
5,5,69.540,0.452,0.073,138.000,124.000,0.527,0.95,100000
6,5,69.613,0.452,0.073,138.000,124.000,0.527,0.95,100000
7,5,69.476,0.454,0.074,138.000,124.000,0.527,0.95,100000
8,5,71.284,0.452,0.075,135.000,127.000,0.515,0.95,100000
9,5,83.449,0.381,0.075,111.000,151.000,0.424,0.95,100000
10,5,83.449,0.381,0.076,111.000,151.000,0.424,0.95,100000
11,5,84.546,0.373,0.077,111.000,151.000,0.424,0.95,100000
12,5,82.544,0.323,0.077,103.000,159.000,0.393,0.95,100000
13,5,82.949,0.318,0.078,104.000,158.000,0.397,0.95,100000
14,5,83.088,0.333,0.079,103.000,159.000,0.393,0.95,100000
15,5,83.088,0.333,0.079,103.000,159.000,0.393,0.95,100000
16,5,83.183,0.333,0.080,103.000,159.000,0.393,0.95,100000
17,5,81.546,0.337,0.081,103.000,159.000,0.393,0.95,100000
18,5,78.972,0.337,0.081,103.000,159.000,0.393,0.95,100000
19,5,78.946,0.337,0.082,103.000,159.000,0.393,0.95,100000
20,5,80.687,0.337,0.083,103.000,159.000,0.393,0.95,100000
21,5,80.687,0.337,0.083,103.000,159.000,0.393,0.95,100000
22,5,80.687,0.337,0.084,103.000,159.000,0.393,0.95,100000
23,5,80.565,0.337,0.084,103.000,159.000,0.393,0.95,100000
24,5,73.497,0.337,0.085,103.000,159.000,0.393,0.95,100000
25,5,73.497,0.337,0.086,103.000,159.000,0.393,0.95,100000
26,5,74.834,0.371,0.087,111.000,151.000,0.424,0.95,100000
27,5,78.902,0.371,0.087,111.000,151.000,0.424,0.95,100000
28,5,78.902,0.371,0.088,111.000,151.000,0.424,0.95,100000
29,5,80.823,0.371,0.386,111.000,151.000,0.424,0.95,100000
30,5,79.632,0.396,0.387,117.000,145.000,0.447,0.95,100000
31,5,79.385,0.396,0.387,117.000,145.000,0.447,0.95,100000
32,5,79.433,0.396,0.388,117.000,145.000,0.447,0.95,100000
33,5,79.438,0.396,0.392,117.000,145.000,0.447,0.95,100000
34,5,77.610,0.396,0.412,117.000,145.000,0.447,0.95,100000
35,5,71.608,0.560,0.413,143.000,119.000,0.546,0.95,100000
36,5,78.749,0.396,0.414,117.000,145.000,0.447,0.95,100000
37,5,78.749,0.396,0.414,117.000,145.000,0.447,0.95,100000
38,5,78.626,0.396,0.583,117.000,145.000,0.447,0.95,100000
39,5,78.706,0.396,0.583,117.000,145.000,0.447,0.95,100000
40,5,75.292,0.487,0.584,134.000,128.000,0.511,0.95,100000
41,5,74.980,0.523,0.585,138.000,124.000,0.527,0.95,100000
42,5,75.620,0.523,0.585,138.000,124.000,0.527,0.95,100000
43,5,75.027,0.400,0.586,118.000,144.000,0.450,0.95,100000
44,5,69.199,0.491,0.587,133.000,129.000,0.508,0.95,100000
45,5,69.212,0.493,0.587,133.000,129.000,0.508,0.95,100000
46,5,69.212,0.493,0.588,133.000,129.000,0.508,0.95,100000
47,5,67.609,0.592,0.588,148.000,114.000,0.565,0.95,100000
48,5,65.280,0.615,0.589,152.000,110.000,0.580,0.95,100000
49,5,65.264,0.615,0.590,152.000,110.000,0.580,0.95,100000
50,5,64.529,0.621,0.590,158.000,104.000,0.603,0.95,100000
51,5,61.534,0.661,0.591,157.000,105.000,0.599,0.95,100000
52,5,66.349,0.613,0.592,148.000,114.000,0.565,0.95,100000
53,5,65.629,0.613,0.593,148.000,114.000,0.565,0.95,100000
54,5,66.132,0.613,0.593,148.000,114.000,0.565,0.95,100000
55,5,66.132,0.613,0.594,148.000,114.000,0.565,0.95,100000
56,5,66.132,0.613,0.595,148.000,114.000,0.565,0.95,100000
57,5,66.132,0.613,0.596,148.000,114.000,0.565,0.95,100000
58,5,66.132,0.613,0.597,148.000,114.000,0.565,0.95,100000
59,5,66.166,0.613,0.597,148.000,114.000,0.565,0.95,100000
60,5,66.166,0.613,0.598,148.000,114.000,0.565,0.95,100000
61,5,66.166,0.613,0.598,148.000,114.000,0.565,0.95,100000
62,5,66.166,0.613,0.599,148.000,114.000,0.565,0.95,100000
63,5,71.874,0.533,0.599,136.000,126.000,0.519,0.95,100000
64,5,71.809,0.531,0.600,135.000,127.000,0.515,0.95,100000
65,5,71.022,0.540,0.601,141.000,121.000,0.538,0.95,100000
66,5,71.026,0.540,0.602,141.000,121.000,0.538,0.95,100000
67,5,71.026,0.540,0.602,141.000,121.000,0.538,0.95,100000
68,5,70.480,0.552,0.603,138.000,124.000,0.527,0.95,100000
69,5,60.592,0.673,0.604,157.000,105.000,0.599,0.95,100000
70,5,60.592,0.673,0.604,157.000,105.000,0.599,0.95,100000
71,5,60.070,0.659,0.605,152.000,110.000,0.580,0.95,100000
72,5,60.070,0.659,0.605,152.000,110.000,0.580,0.95,100000
73,5,60.070,0.659,0.606,152.000,110.000,0.580,0.95,100000
74,5,60.070,0.659,0.607,152.000,110.000,0.580,0.95,100000
75,5,60.023,0.661,0.607,152.000,110.000,0.580,0.95,100000
76,5,60.112,0.661,0.608,152.000,110.000,0.580,0.95,100000
77,5,60.144,0.661,0.608,153.000,109.000,0.584,0.95,100000
78,5,60.144,0.661,0.613,153.000,109.000,0.584,0.95,100000
79,5,58.580,0.675,0.614,158.000,104.000,0.603,0.95,100000
80,5,58.580,0.675,0.614,158.000,104.000,0.603,0.95,100000
81,5,58.385,0.675,0.615,158.000,104.000,0.603,0.95,100000
82,5,58.385,0.675,0.616,158.000,104.000,0.603,0.95,100000
83,5,58.385,0.675,0.616,158.000,104.000,0.603,0.95,100000
84,5,56.818,0.675,0.617,158.000,104.000,0.603,0.95,100000
85,5,56.818,0.675,0.617,158.000,104.000,0.603,0.95,100000
86,5,56.800,0.675,0.618,157.000,105.000,0.599,0.95,100000
87,5,56.800,0.675,0.618,157.000,105.000,0.599,0.95,100000
88,5,56.952,0.673,0.621,158.000,104.000,0.603,0.95,100000
89,5,57.005,0.673,0.621,156.000,106.000,0.595,0.95,100000
90,5,57.005,0.673,0.622,156.000,106.000,0.595,0.95,100000
91,5,57.005,0.673,0.623,156.000,106.000,0.595,0.95,100000
92,5,57.005,0.673,0.623,156.000,106.000,0.595,0.95,100000
93,5,57.005,0.673,0.624,156.000,106.000,0.595,0.95,100000
94,5,60.745,0.673,0.625,156.000,106.000,0.595,0.95,100000
95,5,60.745,0.673,0.625,156.000,106.000,0.595,0.95,100000
96,5,64.360,0.671,0.625,156.000,106.000,0.595,0.95,100000
97,5,64.360,0.671,0.626,156.000,106.000,0.595,0.95,100000
98,5,60.217,0.673,0.626,156.000,106.000,0.595,0.95,100000
99,5,60.217,0.673,0.627,156.000,106.000,0.595,0.95,100000
