a,b,c,d,e,f,g,h
1,7,0.163,0.339,0.003,100.000,162.000,0.382
2,7,0.157,0.341,0.007,100.000,162.000,0.382
3,7,0.152,0.341,0.010,100.000,162.000,0.382
4,7,0.147,0.343,0.013,100.000,162.000,0.382
5,7,0.143,0.343,0.016,100.000,162.000,0.382
6,7,0.139,0.343,0.019,100.000,162.000,0.382
7,7,0.136,0.343,3.055,99.000,163.000,0.378
8,7,0.133,0.343,3.390,99.000,163.000,0.378
9,7,0.130,0.343,3.836,99.000,163.000,0.378
10,7,0.128,0.345,3.839,100.000,162.000,0.382
11,7,0.126,0.659,3.841,161.000,101.000,0.615
12,7,0.124,0.661,3.844,161.000,101.000,0.615
13,7,0.122,0.661,3.847,161.000,101.000,0.615
14,7,0.121,0.663,3.849,161.000,101.000,0.615
15,7,0.120,0.663,11.517,161.000,101.000,0.615
16,7,0.119,0.665,11.883,162.000,100.000,0.618
17,7,0.118,0.667,11.886,162.000,100.000,0.618
18,7,0.117,0.667,11.889,162.000,100.000,0.618
19,7,0.116,0.667,11.892,162.000,100.000,0.618
20,7,0.116,0.667,16.096,162.000,100.000,0.618
21,7,0.115,0.667,16.097,162.000,100.000,0.618
22,7,0.115,0.667,16.098,162.000,100.000,0.618
23,7,0.114,0.667,16.099,162.000,100.000,0.618
24,7,0.114,0.667,16.100,162.000,100.000,0.618
25,7,0.114,0.667,16.101,162.000,100.000,0.618
26,7,0.113,0.667,16.102,162.000,100.000,0.618
27,7,0.113,0.667,16.103,162.000,100.000,0.618
28,7,0.113,0.667,16.104,162.000,100.000,0.618
29,7,0.113,0.667,16.105,162.000,100.000,0.618
30,7,0.112,0.667,16.106,162.000,100.000,0.618
31,7,0.112,0.667,17.294,162.000,100.000,0.618
32,7,0.112,0.667,17.295,162.000,100.000,0.618
33,7,0.112,0.667,19.410,162.000,100.000,0.618
34,7,0.112,0.667,19.411,162.000,100.000,0.618
35,7,0.112,0.667,19.412,162.000,100.000,0.618
36,7,0.112,0.667,23.255,162.000,100.000,0.618
37,7,0.112,0.667,23.256,162.000,100.000,0.618
38,7,0.112,0.667,23.257,162.000,100.000,0.618
39,7,0.111,0.667,25.428,162.000,100.000,0.618
40,7,0.111,0.667,25.429,162.000,100.000,0.618
41,7,0.111,0.667,25.430,162.000,100.000,0.618
42,7,0.111,0.667,25.430,162.000,100.000,0.618
43,7,0.111,0.667,25.431,162.000,100.000,0.618
44,7,0.111,0.667,25.432,162.000,100.000,0.618
45,7,0.111,0.667,25.433,162.000,100.000,0.618
46,7,0.111,0.667,25.695,162.000,100.000,0.618
47,7,0.111,0.667,25.696,162.000,100.000,0.618
48,7,0.111,0.667,25.697,162.000,100.000,0.618
49,7,0.111,0.667,28.953,162.000,100.000,0.618
50,7,0.111,0.667,28.954,162.000,100.000,0.618
51,7,0.111,0.667,28.955,162.000,100.000,0.618
52,7,0.111,0.667,28.956,162.000,100.000,0.618
53,7,0.111,0.667,28.956,162.000,100.000,0.618
54,7,0.111,0.667,29.137,162.000,100.000,0.618
55,7,0.111,0.667,29.138,162.000,100.000,0.618
56,7,0.111,0.667,29.138,162.000,100.000,0.618
57,7,0.111,0.667,29.139,162.000,100.000,0.618
58,7,0.111,0.667,29.140,162.000,100.000,0.618
59,7,0.111,0.667,29.141,162.000,100.000,0.618
60,7,0.111,0.667,29.141,162.000,100.000,0.618
61,7,0.111,0.667,29.142,162.000,100.000,0.618
62,7,0.111,0.667,29.143,162.000,100.000,0.618
63,7,0.111,0.667,29.144,162.000,100.000,0.618
64,7,0.111,0.667,29.144,162.000,100.000,0.618
65,7,0.111,0.667,29.145,162.000,100.000,0.618
66,7,0.111,0.667,29.146,162.000,100.000,0.618
67,7,0.111,0.667,29.916,162.000,100.000,0.618
68,7,0.111,0.667,29.917,162.000,100.000,0.618
69,7,0.111,0.667,29.917,162.000,100.000,0.618
70,7,0.111,0.667,29.918,162.000,100.000,0.618
71,7,0.111,0.667,29.919,162.000,100.000,0.618
