a,b,c,d,e
10,224.0,8.856867503,100.0,50.0
20,42.0,11.977293649,100.0,50.0
30,228.0,14.161646362,100.0,50.0
40,57.0,16.186529013,100.0,50.0
50,64.0,17.825184653,100.0,50.0
60,64.0,19.630384873,100.0,50.0
70,64.0,21.38175403,100.0,50.0
80,64.0,22.843054497,100.0,50.0
90,65.0,24.70452545,100.0,50.0
100,65.0,26.346487121,100.0,50.0
110,66.0,27.717098944,100.0,50.0
120,65.0,29.104261414,100.0,50.0
130,67.0,30.560100983,100.0,50.0
140,66.0,31.921266399,100.0,50.0
150,65.0,33.437880561,100.0,50.0
160,66.0,34.890106935,100.0,50.0
170,66.0,36.49353976,100.0,50.0
180,65.0,38.037696117,100.0,50.0
190,66.0,39.62908513,100.0,50.0
200,65.0,41.182776662,100.0,50.0
210,65.0,42.796580324,100.0,50.0
220,65.0,44.313065852,100.0,50.0
230,66.0,46.033408872,100.0,50.0
240,65.0,47.505076114,100.0,50.0
250,64.0,49.061314805,100.0,50.0
260,65.0,50.710197307,100.0,50.0
270,66.0,52.023392452,100.0,50.0
280,65.0,53.602108932,100.0,50.0
290,65.0,55.022383289,100.0,50.0
300,65.0,56.877650466,100.0,50.0
310,65.0,58.418381624,100.0,50.0
320,65.0,59.723760318,100.0,50.0
330,65.0,61.241247234,100.0,50.0
340,65.0,62.795627765,100.0,50.0
350,65.0,64.52112881,100.0,50.0
360,66.0,66.113044342,100.0,50.0
370,66.0,67.776603089,100.0,50.0
380,65.0,69.709780544,100.0,50.0
390,65.0,71.369251476,100.0,50.0
400,65.0,72.975766428,100.0,50.0
410,65.0,74.472705424,100.0,50.0
420,65.0,76.044623906,100.0,50.0
430,65.0,77.477879456,100.0,50.0
440,66.0,78.905487482,100.0,50.0
450,66.0,80.498730537,100.0,50.0
460,65.0,82.164656406,100.0,50.0
470,65.0,83.790110295,100.0,50.0
480,65.0,85.344555111,100.0,50.0
490,65.0,86.78426078,100.0,50.0
500,67.0,88.093146401,100.0,50.0
510,66.0,89.489321393,100.0,50.0
520,67.0,90.908074068,100.0,50.0
530,65.0,91.897937277,100.0,50.0
540,67.0,93.394345853,100.0,50.0
550,65.0,94.977143568,100.0,50.0
560,66.0,96.558944259,100.0,50.0
570,65.0,98.144444127,100.0,50.0
580,65.0,99.713052334,100.0,50.0
590,65.0,101.105399049,100.0,50.0
600,67.0,102.682457382,100.0,50.0
610,66.0,104.268573798,100.0,50.0
620,66.0,105.767182547,100.0,50.0
630,65.0,107.299446705,100.0,50.0
640,65.0,108.804730826,100.0,50.0
650,65.0,110.389278343,100.0,50.0
660,66.0,111.93469741,100.0,50.0
670,65.0,113.369788083,100.0,50.0
680,65.0,114.892830681,100.0,50.0
690,66.0,116.326212788,100.0,50.0
700,66.0,117.898688567,100.0,50.0
710,66.0,119.433699182,100.0,50.0
720,65.0,120.882976756,100.0,50.0
730,65.0,122.329887943,100.0,50.0
740,65.0,123.858194939,100.0,50.0
750,65.0,125.320281636,100.0,50.0
760,65.0,126.683295586,100.0,50.0
770,65.0,128.065337138,100.0,50.0
780,65.0,129.638977526,100.0,50.0
790,65.0,131.008869392,100.0,50.0
800,65.0,132.309839563,100.0,50.0
810,65.0,133.69864947,100.0,50.0
820,66.0,135.426943253,100.0,50.0
830,66.0,137.167388871,100.0,50.0
840,66.0,138.5553977,100.0,50.0
850,66.0,140.04043685,100.0,50.0
860,66.0,141.777603041,100.0,50.0
870,66.0,143.332684083,100.0,50.0
880,66.0,145.017644781,100.0,50.0
890,66.0,146.471911826,100.0,50.0
900,66.0,147.948647991,100.0,50.0
910,66.0,149.383830358,100.0,50.0
920,232.0,150.964156159,100.0,50.0
930,67.0,152.589593061,100.0,50.0
940,66.0,154.195163366,100.0,50.0
