a,b,c,d,e
10,222.0,8.955507972,100.0,50.0
20,223.0,10.906795974,100.0,50.0
30,233.0,12.71803525,100.0,50.0
40,48.0,14.396146049,100.0,50.0
50,43.0,15.794046877,100.0,50.0
60,44.0,17.166785726,100.0,50.0
70,46.0,18.501383973,100.0,50.0
80,45.0,19.902266392,100.0,50.0
90,48.0,21.289054549,100.0,50.0
100,46.0,22.625022086,100.0,50.0
110,44.0,23.986890941,100.0,50.0
120,44.0,25.300200335,100.0,50.0
130,44.0,26.636554913,100.0,50.0
140,45.0,27.955194824,100.0,50.0
150,45.0,29.30614993,100.0,50.0
160,45.0,30.655762628,100.0,50.0
170,46.0,31.995726069,100.0,50.0
180,49.0,33.282062581,100.0,50.0
190,47.0,34.672482149,100.0,50.0
200,47.0,36.085567647,100.0,50.0
210,47.0,37.468774592,100.0,50.0
220,54.0,38.800662226,100.0,50.0
230,59.0,40.167099373,100.0,50.0
240,54.0,41.504436508,100.0,50.0
250,53.0,42.672788366,100.0,50.0
260,52.0,44.039327941,100.0,50.0
270,52.0,45.387584089,100.0,50.0
280,54.0,46.716500951,100.0,50.0
290,53.0,48.050211233,100.0,50.0
300,53.0,49.362025436,100.0,50.0
310,53.0,50.669772012,100.0,50.0
320,51.0,51.970254796,100.0,50.0
330,53.0,53.304978396,100.0,50.0
340,53.0,54.634068357,100.0,50.0
350,53.0,55.88315793,100.0,50.0
360,50.0,57.202865626,100.0,50.0
370,53.0,58.66959119,100.0,50.0
380,53.0,60.047232363,100.0,50.0
390,53.0,61.357061564,100.0,50.0
400,54.0,62.727632975,100.0,50.0
410,54.0,63.996250909,100.0,50.0
420,54.0,65.383211424,100.0,50.0
430,58.0,66.727095923,100.0,50.0
440,54.0,68.02632739,100.0,50.0
450,55.0,69.273870149,100.0,50.0
460,54.0,70.560336545,100.0,50.0
470,55.0,71.851563642,100.0,50.0
480,55.0,73.161652615,100.0,50.0
490,56.0,74.540576522,100.0,50.0
500,54.0,75.881891341,100.0,50.0
510,54.0,77.490131692,100.0,50.0
520,56.0,79.144281148,100.0,50.0
530,55.0,80.640511313,100.0,50.0
540,55.0,82.16612458,100.0,50.0
550,54.0,83.762524805,100.0,50.0
560,55.0,85.292636423,100.0,50.0
570,56.0,86.744318539,100.0,50.0
580,58.0,88.229653257,100.0,50.0
590,58.0,89.718569611,100.0,50.0
600,58.0,91.289296777,100.0,50.0
610,58.0,92.993583574,100.0,50.0
620,59.0,94.646856099,100.0,50.0
630,58.0,96.101856238,100.0,50.0
640,60.0,97.794756674,100.0,50.0
650,58.0,99.190802433,100.0,50.0
660,59.0,100.62524514,100.0,50.0
670,58.0,101.915659402,100.0,50.0
680,58.0,103.390129465,100.0,50.0
690,58.0,104.730818817,100.0,50.0
700,58.0,106.49749765,100.0,50.0
710,59.0,108.654515058,100.0,50.0
720,59.0,110.830955957,100.0,50.0
730,62.0,112.202457272,100.0,50.0
740,58.0,113.58734871,100.0,50.0
750,58.0,114.888590121,100.0,50.0
760,58.0,116.239605589,100.0,50.0
770,58.0,117.555888788,100.0,50.0
780,59.0,118.84683663,100.0,50.0
790,58.0,120.151249286,100.0,50.0
800,58.0,121.426157876,100.0,50.0
810,58.0,122.80253584,100.0,50.0
820,58.0,124.093858366,100.0,50.0
830,58.0,125.560258193,100.0,50.0
840,60.0,127.013067177,100.0,50.0
850,58.0,128.707928195,100.0,50.0
860,59.0,130.2212844,100.0,50.0
870,59.0,131.526651627,100.0,50.0
880,60.0,132.847925463,100.0,50.0
890,59.0,134.399522893,100.0,50.0
900,60.0,135.813428028,100.0,50.0
910,64.0,137.353731813,100.0,50.0
920,60.0,139.205827595,100.0,50.0
930,64.0,140.603426721,100.0,50.0
940,64.0,141.967139522,100.0,50.0
950,65.0,143.384778319,100.0,50.0
960,64.0,144.778035617,100.0,50.0
970,61.0,146.164452361,100.0,50.0
980,65.0,147.46588088,100.0,50.0
990,65.0,148.821444167,100.0,50.0
