a,b,c
10,28.0,0.016869724
20,28.0,0.017944667
30,28.0,0.019187633
40,28.0,0.020443287
50,28.0,0.02989031
60,28.0,0.033280695
70,28.0,0.036696197
80,28.0,0.037654361
90,28.0,0.044432762
100,28.0,0.045408348
110,28.0,0.046292816
120,28.0,0.047316423
130,29.0,0.048380288
140,29.0,0.068940193
150,29.0,0.070342947
160,29.0,0.085900351
170,29.0,0.086885486
180,29.0,0.08790137
190,29.0,0.096088769
200,29.0,0.097154501
210,29.0,0.098299842
220,29.0,0.099440536
230,29.0,0.100454781
240,31.0,0.115041143
250,31.0,0.116121616
260,31.0,0.117027015
270,32.0,0.118034353
280,32.0,0.118986597
290,32.0,0.119734325
300,34.0,0.120457815
310,34.0,0.153049262
320,34.0,0.153130783
330,35.0,0.153210094
340,35.0,0.153283706
350,35.0,0.232910743
360,35.0,0.232969223
370,35.0,0.233019236
380,35.0,0.233070422
390,35.0,0.233120841
400,35.0,0.233171082
410,35.0,0.233220227
420,35.0,0.233271308
430,35.0,0.233321953
440,35.0,0.233377201
450,35.0,0.233436193
460,35.0,0.233485992
470,35.0,0.23353761
480,35.0,0.233589966
490,35.0,0.23364255
500,35.0,0.233695635
510,35.0,0.233746173
520,35.0,0.233804659
530,35.0,0.233859244
540,35.0,0.23391247
550,35.0,0.23396518
560,35.0,0.234023922
570,35.0,0.234076659
580,35.0,0.234130874
590,35.0,0.234183928
600,35.0,0.234236868
610,35.0,0.234286677
620,35.0,0.234337327
630,35.0,0.234387444
640,35.0,0.234440149
650,35.0,0.234493367
660,35.0,0.234548466
670,35.0,0.234606384
680,35.0,0.234662283
690,35.0,0.234720759
700,35.0,0.234777961
710,35.0,0.234833786
720,35.0,0.234915492
730,35.0,0.234989082
740,35.0,0.235042022
750,35.0,0.235095205
760,35.0,0.235146165
770,35.0,0.235200517
780,35.0,0.255207559
790,35.0,0.255317964
800,35.0,0.255380826
810,35.0,0.256847355
820,35.0,0.25691042
830,35.0,0.256974782
840,35.0,0.257042426
850,35.0,0.257107187
860,35.0,0.258844557
870,35.0,0.25891459
880,35.0,0.258977717
890,35.0,0.259042269
900,35.0,0.259109889
910,35.0,0.259170989
920,35.0,0.259228776
930,35.0,0.259290801
940,35.0,0.25936392
950,35.0,0.259440707
960,35.0,0.260185484
970,35.0,0.260247143
980,35.0,0.260303296
990,35.0,0.260358984
1000,35.0,0.260419451
1010,35.0,0.260476915
1020,35.0,0.260554977
1030,35.0,0.260620004
1040,35.0,0.260683007
1050,35.0,0.260747572
1060,35.0,0.26083247
1070,35.0,0.260902238
1080,35.0,0.260972505
1090,35.0,0.261032004
1100,35.0,0.401043205
1110,35.0,0.401102916
1120,35.0,0.40116362
1130,35.0,0.401221017
1140,35.0,0.401285031
1150,35.0,0.401346749
1160,35.0,0.401407727
1170,35.0,0.401467504
1180,35.0,0.401529014
1190,35.0,0.401587417
1200,35.0,0.401650042
1210,35.0,0.401717931
1220,35.0,0.401790613
1230,35.0,0.401886709
1240,35.0,0.401992456
1250,35.0,0.402137585
1260,35.0,0.402225573
1270,35.0,0.402316018
1280,35.0,0.402391142
1290,35.0,0.402469925
1300,35.0,0.402541872
1310,35.0,0.402604471
1320,35.0,0.402672098
1330,35.0,0.402737156
1340,35.0,0.402799424
1350,35.0,0.402865812
1360,35.0,0.402931007
1370,35.0,0.402996117
1380,35.0,0.403059099
1390,35.0,0.403121367
1400,35.0,0.40318215
1410,35.0,0.403245437
1420,35.0,0.403318734
1430,35.0,0.403392142
1440,35.0,0.40347362
1450,35.0,0.403546248
1460,35.0,0.403616182
1470,35.0,0.404342077
1480,35.0,0.404413942
1490,35.0,0.404474847
1500,35.0,0.404538735
1510,35.0,0.404603915
1520,35.0,0.404670713
1530,35.0,0.404733485
1540,35.0,0.438604182
1550,35.0,0.438670313
1560,35.0,0.438732643
1570,35.0,0.438792832
1580,35.0,0.438853919
1590,35.0,0.438915774
1600,35.0,0.438975333
1610,35.0,0.439036926
1620,35.0,0.439096241
1630,35.0,0.439160603
1640,35.0,0.439226375
1650,35.0,0.439286627
1660,35.0,0.439347677
1670,35.0,0.439409992
1680,35.0,0.439471645
1690,35.0,0.439534095
1700,36.0,0.4395926
1710,36.0,0.439651533
1720,36.0,0.452872506
1730,36.0,0.45293898
1740,36.0,0.453006174
1750,36.0,0.453073482
1760,36.0,0.453139963
1770,36.0,0.45320763
1780,36.0,0.453272388
1790,36.0,0.453340798
1800,36.0,0.453411852
1810,36.0,0.453479139
1820,36.0,0.453545231
1830,36.0,0.453608957
1840,36.0,0.453673919
1850,36.0,0.453736024
1860,36.0,0.453796378
1870,36.0,0.453856001
1880,36.0,0.453920744
1890,36.0,0.453986112
1900,36.0,0.4540482
1910,37.0,0.45410986
1920,37.0,0.454177901
1930,37.0,0.454240308
1940,37.0,0.454309994
1950,37.0,0.454372473
1960,37.0,0.454439346
1970,37.0,0.454501898
1980,37.0,0.454566232
1990,37.0,0.569528235
2000,37.0,0.56959781
2010,37.0,0.569662759
2020,37.0,0.569729957
2030,37.0,0.569798295
2040,38.0,0.569869115
2050,38.0,0.569934678
2060,39.0,0.570004862
2070,39.0,0.570070602
2080,40.0,0.57014664
2090,40.0,0.570216737
2100,40.0,0.570284569
2110,40.0,0.570354952
2120,40.0,0.570422988
2130,40.0,0.570489557
2140,40.0,0.570555586
2150,40.0,0.570623039
2160,40.0,0.570692014
2170,40.0,0.570764035
2180,40.0,0.570835435
2190,40.0,0.570906346
2200,40.0,0.570990911
2210,40.0,0.571072919
2220,40.0,0.57116196
2230,40.0,0.571251059
2240,40.0,0.571338428
2250,40.0,0.571427027
2260,40.0,0.571515846
2270,40.0,0.571608374
2280,40.0,0.571694619
2290,40.0,0.57178249
2300,40.0,0.571859133
2310,40.0,0.571929815
2320,40.0,0.572014574
2330,40.0,0.572087638
2340,40.0,0.572154605
2350,41.0,0.572226372
2360,42.0,0.572297652
2370,44.0,0.572368794
2380,44.0,0.572441174
2390,44.0,0.572514257
2400,44.0,0.572588368
2410,44.0,0.572664842
2420,44.0,0.572740392
2430,44.0,0.575266377
2440,44.0,0.575338412
2450,44.0,0.575405482
2460,44.0,0.575472588
2470,44.0,0.575545522
2480,44.0,0.575613046
2490,44.0,0.57568023
2500,44.0,0.575749051
2510,44.0,0.57581678
2520,44.0,0.575882257
2530,45.0,0.575954454
2540,45.0,0.576022249
2550,46.0,0.576091637
2560,46.0,0.576159267
2570,46.0,0.576226448
2580,46.0,0.576297001
2590,46.0,0.576365405
2600,46.0,0.576431178
2610,46.0,0.576499546
2620,46.0,0.576567756
2630,46.0,0.57663375
2640,46.0,0.576698345
2650,46.0,0.576766764
2660,46.0,0.576850639
2670,46.0,0.576926822
2680,46.0,0.577006901
2690,46.0,0.57707131
2700,46.0,0.577139778
2710,46.0,0.577203685
2720,46.0,0.577265872
2730,46.0,0.577329164
2740,46.0,0.57739516
2750,46.0,0.577461988
2760,46.0,0.577541491
2770,46.0,0.577619109
2780,47.0,0.577702715
2790,47.0,0.577787051
2800,47.0,0.57786923
2810,47.0,0.577953306
2820,47.0,0.578040222
2830,49.0,0.578133198
2840,50.0,0.578229953
2850,50.0,0.578316067
2860,50.0,0.578396834
2870,50.0,0.57848467
2880,51.0,0.578571459
2890,51.0,0.578654875
2900,51.0,0.578744547
2910,52.0,0.578840005
2920,52.0,0.578925984
2930,52.0,0.578996991
2940,52.0,0.57906103
2950,53.0,0.579127375
2960,53.0,0.579196407
2970,53.0,0.579265692
2980,53.0,0.579332881
2990,53.0,0.579401672
3000,53.0,0.579471388
3010,53.0,0.579541503
3020,53.0,0.57961329
3030,53.0,0.579685512
3040,53.0,0.579754716
3050,54.0,0.579834777
3060,54.0,0.57990348
3070,54.0,0.579971949
3080,54.0,0.580045579
3090,54.0,0.580117381
3100,55.0,0.580190466
3110,55.0,0.58026039
3120,55.0,0.58033046
3130,55.0,0.580402685
3140,55.0,0.580473106
3150,55.0,0.580542226
3160,56.0,0.580611306
3170,56.0,0.580682049
3180,56.0,0.580756601
3190,56.0,0.59142868
3200,56.0,0.59149999
3210,56.0,0.591570892
3220,56.0,0.591640065
3230,56.0,0.591711599
3240,56.0,0.591785037
3250,56.0,0.591854956
3260,56.0,0.59192754
3270,56.0,0.591997235
3280,56.0,0.592067028
3290,56.0,0.592139301
3300,56.0,0.592209203
3310,56.0,0.592279142
3320,56.0,0.592350591
3330,56.0,0.592418809
3340,56.0,0.592488822
3350,56.0,0.592555975
3360,56.0,0.59262628
3370,56.0,0.592697255
3380,56.0,0.592763217
3390,56.0,0.595704726
3400,56.0,0.595781461
3410,56.0,0.595850583
3420,56.0,0.595918685
3430,56.0,0.595996017
3440,56.0,0.596066648
3450,56.0,0.596141932
3460,56.0,0.596213375
3470,56.0,0.596282629
3480,56.0,0.596352254
3490,56.0,0.596427563
3500,56.0,0.596500281
3510,56.0,0.59657048
3520,56.0,0.596640421
3530,56.0,0.596707575
3540,56.0,0.596793254
3550,56.0,0.596868779
3560,56.0,0.596937438
3570,56.0,0.597008355
3580,56.0,0.597120285
3590,56.0,0.597237604
