a,b,c
10,222.0,1.81023E-4
20,222.0,2.72399E-4
30,222.0,3.54043E-4
40,222.0,4.34248E-4
50,222.0,5.41919E-4
60,222.0,6.22279E-4
70,222.0,7.02206E-4
80,222.0,7.76239E-4
90,222.0,8.60611E-4
100,222.0,9.3294E-4
110,222.0,0.001001153
120,222.0,0.001077314
130,222.0,0.00115733
140,222.0,0.001235194
150,222.0,0.00130739
160,222.0,0.001380609
170,222.0,0.001465601
180,222.0,0.001546185
190,222.0,0.001625263
200,222.0,0.001702073
210,222.0,0.001788084
220,222.0,0.001883669
230,222.0,0.001968025
240,222.0,0.002023748
250,222.0,0.002075866
260,222.0,0.002134518
270,222.0,0.002185429
280,222.0,0.002242556
290,222.0,0.002292068
300,222.0,0.00234197
310,222.0,0.002391726
320,222.0,0.002438591
330,222.0,0.00249064
340,222.0,0.002538835
350,222.0,0.002588665
360,222.0,0.002638458
370,222.0,0.102251653
380,222.0,0.10231179
390,222.0,0.102363644
400,222.0,0.102415339
410,222.0,0.102468339
420,222.0,0.102518023
430,222.0,0.102570489
440,222.0,0.10262438
450,222.0,0.102670808
460,222.0,0.102721225
470,222.0,0.102770869
480,222.0,0.102818346
490,222.0,0.102873675
500,222.0,0.10292495
510,222.0,0.102977399
520,222.0,0.103030433
530,222.0,0.103079881
540,222.0,0.103132188
550,222.0,0.103184501
560,222.0,0.103235748
570,222.0,0.103289128
580,222.0,0.10334254
590,222.0,0.103394839
600,222.0,0.10344882
610,222.0,0.103502118
620,222.0,0.103552785
630,222.0,0.103610245
640,222.0,0.10366541
650,222.0,0.103717509
660,222.0,0.103774046
670,222.0,0.103827551
680,222.0,0.103909636
690,222.0,0.103956825
700,222.0,0.104008953
710,222.0,0.104054206
720,222.0,0.104108064
730,222.0,0.104157628
740,222.0,0.104204271
750,222.0,0.104255343
760,222.0,0.104303848
770,222.0,0.104350585
780,222.0,0.104404249
790,222.0,0.104452838
800,222.0,0.104503479
810,222.0,0.104588788
820,222.0,0.104676528
830,222.0,0.104728245
840,222.0,0.104777278
850,222.0,0.104830685
860,222.0,0.104882565
870,222.0,0.10493204
880,222.0,0.104983365
890,222.0,0.105033028
900,222.0,0.105084348
910,222.0,0.105133699
920,222.0,0.105182081
930,222.0,0.116099925
940,222.0,0.116172634
950,222.0,0.116229544
960,222.0,0.116279305
970,222.0,0.116331488
980,222.0,0.116381634
990,222.0,0.116435579
1000,222.0,0.11648302
1010,222.0,0.116532483
1020,222.0,0.116582321
1030,222.0,0.116630659
1040,222.0,0.11668044
1050,222.0,0.116735269
1060,222.0,0.116781904
1070,222.0,0.116832305
1080,222.0,0.116882628
1090,222.0,0.116929955
1100,222.0,0.116979728
1110,222.0,0.117030169
1120,222.0,0.117077385
1130,222.0,0.1171269
1140,222.0,0.117174619
1150,222.0,0.117224681
1160,222.0,0.117278275
1170,222.0,0.117333463
1180,222.0,0.117383246
1190,222.0,0.11743475
1200,222.0,0.117483668
1210,222.0,0.117534869
1220,222.0,0.117588476
1230,222.0,0.117639959
1240,222.0,0.117688891
1250,222.0,0.11774234
1260,222.0,0.11779125
1270,223.0,0.117843091
1280,223.0,0.117897679
1290,223.0,0.117951133
1300,223.0,0.117999533
1310,223.0,0.118053888
1320,223.0,0.118109844
1330,223.0,0.118167385
1340,223.0,0.118222525
1350,223.0,0.118281404
1360,223.0,0.118332959
1370,223.0,0.118390389
1380,223.0,0.118450344
1390,223.0,0.11850622
1400,223.0,0.118560199
1410,223.0,0.118618008
1420,223.0,0.118678169
1430,223.0,0.118733189
1440,223.0,0.118785131
1450,223.0,0.11884322
1460,223.0,0.118893211
1470,223.0,0.118945621
1480,223.0,0.119015723
1490,223.0,0.119066624
1500,223.0,0.119118818
1510,223.0,0.119173345
1520,223.0,0.119229988
1530,223.0,0.119283139
1540,223.0,0.1193366
1550,223.0,0.119390488
1560,223.0,0.11944723
1570,223.0,0.119495514
1580,223.0,0.119546004
1590,223.0,0.119599354
1600,223.0,0.119652303
1610,223.0,0.119708116
1620,223.0,0.119760498
1630,223.0,0.11981519
1640,223.0,0.119865431
1650,223.0,0.119923131
1660,223.0,0.119975623
1670,223.0,0.120030554
1680,223.0,0.120082824
1690,223.0,0.120137801
1700,223.0,0.12019645
1710,223.0,0.120249408
1720,223.0,0.120307661
1730,223.0,0.120361476
1740,223.0,0.12041946
1750,223.0,0.120471718
1760,223.0,0.120523908
1770,223.0,0.120574508
1780,223.0,0.120630141
1790,223.0,0.120685646
1800,223.0,0.120741991
1810,223.0,0.120799529
1820,223.0,0.120854124
1830,223.0,0.120911406
1840,223.0,0.120967194
1850,223.0,0.121017708
1860,223.0,0.121077918
1870,223.0,0.121138925
1880,223.0,0.121201704
1890,223.0,0.121263801
1900,223.0,0.121321364
1910,223.0,0.1213833
1920,223.0,0.121445125
1930,223.0,0.121501504
1940,223.0,0.121562985
1950,223.0,0.121622484
1960,223.0,0.121681385
1970,223.0,0.12173842
1980,223.0,0.121797875
1990,223.0,0.121867828
2000,223.0,0.121926146
2010,223.0,0.121988203
2020,223.0,0.122050545
2030,223.0,0.12211205
2040,223.0,0.122174468
2050,223.0,0.122236645
2060,223.0,0.12229692
2070,225.0,0.122357686
2080,225.0,0.122413688
2090,225.0,0.122473835
2100,225.0,0.122539836
2110,229.0,0.122602739
2120,229.0,0.122664424
2130,229.0,0.12272276
2140,229.0,0.122777873
2150,231.0,0.122833674
2160,231.0,0.122887318
2170,231.0,0.122941926
2180,231.0,0.122993273
2190,231.0,0.123044115
2200,231.0,0.123140225
2210,231.0,0.123202896
2220,231.0,0.123260223
2230,231.0,0.12331914
2240,231.0,0.123380165
2250,231.0,0.123444353
2260,231.0,0.123503221
2270,231.0,0.123557104
2280,231.0,0.123613894
2290,231.0,0.123673586
2300,231.0,0.12373363
2310,231.0,0.123791529
2320,231.0,0.123850218
2330,231.0,0.123910534
2340,231.0,0.123968986
2350,231.0,0.124028841
2360,231.0,0.124087091
2370,231.0,0.124145606
2380,231.0,0.124203781
2390,231.0,0.124264014
2400,231.0,0.124322761
2410,231.0,0.124379969
2420,231.0,0.124438589
2430,231.0,0.124498098
