a,b,c,d,e
10,20.0,9.0823E-5,100.0,0.95
20,20.0,0.21418185,100.0,0.95
30,21.0,0.214243401,100.0,0.95
40,21.0,0.214305137,100.0,0.95
50,22.0,0.214369858,100.0,0.95
60,25.0,0.214431495,100.0,0.95
70,21.0,0.21449286,100.0,0.95
80,25.0,0.214554106,100.0,0.95
90,25.0,0.214614492,100.0,0.95
100,25.0,0.214675309,100.0,0.95
110,25.0,0.214733933,100.0,0.95
120,27.0,0.214795064,100.0,0.95
130,27.0,0.214853277,100.0,0.95
140,27.0,0.214916,100.0,0.95
150,27.0,0.214975775,100.0,0.95
160,27.0,0.21503715,100.0,0.95
170,27.0,0.215097326,100.0,0.95
180,27.0,0.215162045,100.0,0.95
190,27.0,0.215219587,100.0,0.95
200,27.0,0.215277484,100.0,0.95
210,27.0,0.215334705,100.0,0.95
220,27.0,0.21539173,100.0,0.95
230,27.0,0.21545177,100.0,0.95
240,27.0,0.215514463,100.0,0.95
250,27.0,0.215578752,100.0,0.95
260,27.0,0.215637944,100.0,0.95
270,27.0,0.215699146,100.0,0.95
280,27.0,0.21576047,100.0,0.95
290,27.0,0.215822105,100.0,0.95
300,27.0,0.21588429,100.0,0.95
310,27.0,0.215943928,100.0,0.95
320,27.0,0.216004342,100.0,0.95
330,27.0,0.216065389,100.0,0.95
340,27.0,0.216127677,100.0,0.95
350,27.0,0.216195727,100.0,0.95
360,27.0,0.216254869,100.0,0.95
370,28.0,0.216314748,100.0,0.95
380,28.0,0.21637417,100.0,0.95
390,28.0,0.216433503,100.0,0.95
400,29.0,0.216493669,100.0,0.95
410,29.0,0.216557146,100.0,0.95
420,29.0,0.216614509,100.0,0.95
430,29.0,0.21667014,100.0,0.95
440,29.0,0.21672956,100.0,0.95
450,29.0,0.222189904,100.0,0.95
460,29.0,0.222262535,100.0,0.95
470,29.0,0.222335797,100.0,0.95
480,29.0,0.222404806,100.0,0.95
490,29.0,0.222477172,100.0,0.95
500,29.0,0.222547546,100.0,0.95
510,29.0,0.222617241,100.0,0.95
520,29.0,0.222695083,100.0,0.95
530,31.0,0.222769245,100.0,0.95
540,33.0,0.222844807,100.0,0.95
550,33.0,0.222915454,100.0,0.95
560,33.0,0.222987247,100.0,0.95
570,33.0,0.223061687,100.0,0.95
580,33.0,0.223137536,100.0,0.95
590,33.0,0.223219473,100.0,0.95
600,33.0,0.223300513,100.0,0.95
610,34.0,0.223382288,100.0,0.95
620,34.0,0.223458499,100.0,0.95
630,34.0,0.223541979,100.0,0.95
640,34.0,0.223617844,100.0,0.95
650,34.0,0.223696483,100.0,0.95
660,34.0,0.223774499,100.0,0.95
670,34.0,0.34215673,100.0,0.95
680,34.0,0.342242124,100.0,0.95
690,34.0,0.342318637,100.0,0.95
700,34.0,0.342399902,100.0,0.95
710,34.0,0.342477279,100.0,0.95
720,34.0,0.342562234,100.0,0.95
730,34.0,0.342639785,100.0,0.95
740,34.0,0.342720107,100.0,0.95
750,34.0,0.53532755,100.0,0.95
760,34.0,0.551925159,100.0,0.95
770,34.0,0.5520396,100.0,0.95
780,34.0,0.552152348,100.0,0.95
790,35.0,0.604242074,100.0,0.95
800,35.0,0.621049394,100.0,0.95
810,35.0,0.621163019,100.0,0.95
820,35.0,0.62128626,100.0,0.95
830,35.0,0.666196709,100.0,0.95
840,35.0,0.66635889,100.0,0.95
850,35.0,0.666451217,100.0,0.95
860,36.0,0.666528982,100.0,0.95
870,36.0,0.666644839,100.0,0.95
880,36.0,0.666725747,100.0,0.95
890,36.0,0.666807893,100.0,0.95
900,36.0,0.666882681,100.0,0.95
910,36.0,0.666954494,100.0,0.95
920,36.0,0.667076455,100.0,0.95
930,37.0,0.667148887,100.0,0.95
940,37.0,0.667229153,100.0,0.95
950,37.0,0.66733473,100.0,0.95
960,37.0,0.667416364,100.0,0.95
970,37.0,0.667524572,100.0,0.95
980,37.0,0.667603025,100.0,0.95
990,37.0,0.66768578,100.0,0.95
1000,37.0,0.667763415,100.0,0.95
1010,37.0,0.667842194,100.0,0.95
1020,37.0,0.6679259,100.0,0.95
1030,37.0,0.668012487,100.0,0.95
1040,37.0,0.668094059,100.0,0.95
1050,37.0,0.668227319,100.0,0.95
1060,37.0,0.668316332,100.0,0.95
1070,38.0,0.668401325,100.0,0.95
1080,38.0,0.668484604,100.0,0.95
1090,39.0,0.668612901,100.0,0.95
1100,39.0,0.668695545,100.0,0.95
1110,39.0,0.668780719,100.0,0.95
1120,39.0,0.668861823,100.0,0.95
1130,39.0,0.668945006,100.0,0.95
1140,39.0,0.669074974,100.0,0.95
1150,39.0,0.669161122,100.0,0.95
1160,39.0,0.66925552,100.0,0.95
1170,39.0,0.669343236,100.0,0.95
1180,39.0,0.669432334,100.0,0.95
1190,39.0,0.669584668,100.0,0.95
1200,39.0,0.669681263,100.0,0.95
1210,39.0,0.66978538,100.0,0.95
1220,39.0,0.669865185,100.0,0.95
1230,39.0,0.669939535,100.0,0.95
1240,40.0,0.670020248,100.0,0.95
1250,40.0,0.670115973,100.0,0.95
1260,40.0,0.670200844,100.0,0.95
1270,41.0,0.670290278,100.0,0.95
1280,41.0,0.670452539,100.0,0.95
1290,42.0,0.6705417,100.0,0.95
1300,42.0,0.670629836,100.0,0.95
1310,42.0,0.670750676,100.0,0.95
1320,42.0,0.670833397,100.0,0.95
1330,42.0,0.670912908,100.0,0.95
1340,42.0,0.670987952,100.0,0.95
1350,42.0,0.671054737,100.0,0.95
1360,42.0,0.671126382,100.0,0.95
1370,42.0,0.671188123,100.0,0.95
1380,42.0,0.671256679,100.0,0.95
1390,42.0,0.671323906,100.0,0.95
1400,42.0,0.671389614,100.0,0.95
1410,42.0,0.67145639,100.0,0.95
1420,42.0,0.671520795,100.0,0.95
1430,42.0,0.671581379,100.0,0.95
1440,42.0,0.671647027,100.0,0.95
1450,42.0,0.671714137,100.0,0.95
1460,42.0,0.67178666,100.0,0.95
1470,42.0,0.671853518,100.0,0.95
1480,42.0,0.671998717,100.0,0.95
1490,42.0,0.672071817,100.0,0.95
1500,42.0,0.672137446,100.0,0.95
1510,42.0,0.672212809,100.0,0.95
1520,42.0,0.672282049,100.0,0.95
1530,42.0,0.672349116,100.0,0.95
1540,42.0,0.672414461,100.0,0.95
1550,43.0,0.672477506,100.0,0.95
1560,43.0,0.672551447,100.0,0.95
1570,43.0,0.672661779,100.0,0.95
1580,43.0,0.672734211,100.0,0.95
1590,43.0,0.672805067,100.0,0.95
1600,43.0,0.672876012,100.0,0.95
1610,43.0,0.672943592,100.0,0.95
1620,43.0,0.673016113,100.0,0.95
1630,43.0,0.673086141,100.0,0.95
1640,43.0,0.673157691,100.0,0.95
1650,43.0,0.673231293,100.0,0.95
1660,43.0,0.673305105,100.0,0.95
1670,44.0,0.673375996,100.0,0.95
1680,44.0,0.673445659,100.0,0.95
1690,44.0,0.673519445,100.0,0.95
1700,44.0,0.673591772,100.0,0.95
1710,44.0,0.673666241,100.0,0.95
1720,44.0,0.673740396,100.0,0.95
1730,44.0,0.673815368,100.0,0.95
1740,44.0,0.673905339,100.0,0.95
1750,44.0,0.673983503,100.0,0.95
1760,44.0,0.674057151,100.0,0.95
1770,44.0,0.674196479,100.0,0.95
1780,44.0,0.674302333,100.0,0.95
1790,44.0,0.674409518,100.0,0.95
1800,44.0,0.674508276,100.0,0.95
1810,44.0,0.674608883,100.0,0.95
1820,44.0,0.674709972,100.0,0.95
1830,44.0,0.674804633,100.0,0.95
1840,44.0,0.674906931,100.0,0.95
1850,44.0,0.675008369,100.0,0.95
