a,b,c,d,e
10,22.0,6.1028E-5,100.0,0.95
20,19.0,2.47271E-4,100.0,0.95
30,18.0,3.47771E-4,100.0,0.95
40,24.0,4.5882E-4,100.0,0.95
50,24.0,5.58946E-4,100.0,0.95
60,18.0,6.66541E-4,100.0,0.95
70,17.0,7.7425E-4,100.0,0.95
80,21.0,8.80243E-4,100.0,0.95
90,19.0,9.85689E-4,100.0,0.95
100,20.0,0.001093475,100.0,0.95
110,20.0,0.001198954,100.0,0.95
120,20.0,0.001341236,100.0,0.95
130,21.0,0.001454498,100.0,0.95
140,21.0,0.001558973,100.0,0.95
150,21.0,0.001666538,100.0,0.95
160,21.0,0.001773658,100.0,0.95
170,21.0,0.00188727,100.0,0.95
180,22.0,0.002006778,100.0,0.95
190,22.0,0.002091881,100.0,0.95
200,22.0,0.002168591,100.0,0.95
210,22.0,0.002248704,100.0,0.95
220,22.0,0.002333283,100.0,0.95
230,223.0,0.002407856,100.0,0.95
240,224.0,0.002487409,100.0,0.95
250,224.0,0.002573611,100.0,0.95
260,224.0,0.002649861,100.0,0.95
270,224.0,0.002729891,100.0,0.95
280,224.0,0.002797863,100.0,0.95
290,224.0,0.002865545,100.0,0.95
300,224.0,0.002932888,100.0,0.95
310,224.0,0.003007478,100.0,0.95
320,224.0,0.003079695,100.0,0.95
330,224.0,0.00315079,100.0,0.95
340,224.0,0.003223021,100.0,0.95
350,224.0,0.003294098,100.0,0.95
360,224.0,0.003366241,100.0,0.95
370,224.0,0.003438409,100.0,0.95
380,224.0,0.003509041,100.0,0.95
390,224.0,0.00358259,100.0,0.95
400,224.0,0.003654475,100.0,0.95
410,224.0,0.003733979,100.0,0.95
420,224.0,0.003812254,100.0,0.95
430,224.0,0.003885703,100.0,0.95
440,224.0,0.003962786,100.0,0.95
450,224.0,0.004036946,100.0,0.95
460,224.0,0.00411149,100.0,0.95
470,224.0,0.004186663,100.0,0.95
480,224.0,0.004264334,100.0,0.95
490,224.0,0.004339954,100.0,0.95
500,224.0,0.004417221,100.0,0.95
510,224.0,0.004494029,100.0,0.95
520,224.0,0.00457427,100.0,0.95
530,224.0,0.004647069,100.0,0.95
540,224.0,0.004726555,100.0,0.95
550,224.0,0.004805221,100.0,0.95
560,224.0,0.004880523,100.0,0.95
570,224.0,0.004959329,100.0,0.95
580,224.0,0.005034258,100.0,0.95
590,224.0,0.005112153,100.0,0.95
600,224.0,0.00518899,100.0,0.95
610,224.0,0.00526852,100.0,0.95
620,224.0,0.005343648,100.0,0.95
630,224.0,0.005423875,100.0,0.95
640,224.0,0.005507384,100.0,0.95
650,224.0,0.00558727,100.0,0.95
660,224.0,0.00567133,100.0,0.95
670,224.0,0.005756816,100.0,0.95
680,224.0,0.005831601,100.0,0.95
690,224.0,0.005908143,100.0,0.95
700,224.0,0.005981388,100.0,0.95
710,224.0,0.006052939,100.0,0.95
720,224.0,0.006124529,100.0,0.95
730,224.0,0.006219634,100.0,0.95
740,224.0,0.006291675,100.0,0.95
750,224.0,0.006369298,100.0,0.95
760,224.0,0.00644409,100.0,0.95
770,224.0,0.006520831,100.0,0.95
780,224.0,0.006597313,100.0,0.95
790,224.0,0.00667745,100.0,0.95
800,224.0,0.006761656,100.0,0.95
810,224.0,0.00684309,100.0,0.95
820,224.0,0.006923663,100.0,0.95
830,224.0,0.007007495,100.0,0.95
840,224.0,0.007091519,100.0,0.95
850,224.0,0.007175374,100.0,0.95
860,224.0,0.007260018,100.0,0.95
870,230.0,0.007346893,100.0,0.95
880,230.0,0.007429971,100.0,0.95
890,230.0,0.007512769,100.0,0.95
900,230.0,0.007588951,100.0,0.95
910,230.0,0.007663801,100.0,0.95
920,230.0,0.007739839,100.0,0.95
930,230.0,0.007813193,100.0,0.95
940,230.0,0.007887839,100.0,0.95
950,230.0,0.007961101,100.0,0.95
960,230.0,0.008037586,100.0,0.95
970,230.0,0.008113929,100.0,0.95
980,230.0,0.008193671,100.0,0.95
990,230.0,0.008275514,100.0,0.95
1000,230.0,0.008350199,100.0,0.95
1010,230.0,0.008425774,100.0,0.95
1020,230.0,0.008501056,100.0,0.95
1030,230.0,0.008578709,100.0,0.95
1040,230.0,0.00865645,100.0,0.95
1050,230.0,0.008735631,100.0,0.95
1060,230.0,0.008809231,100.0,0.95
1070,230.0,0.008883269,100.0,0.95
1080,230.0,0.00895933,100.0,0.95
1090,230.0,0.009044369,100.0,0.95
1100,230.0,0.009123679,100.0,0.95
1110,230.0,0.009200901,100.0,0.95
1120,230.0,0.009282618,100.0,0.95
1130,230.0,0.009364129,100.0,0.95
1140,230.0,0.009442114,100.0,0.95
1150,230.0,0.009518825,100.0,0.95
1160,230.0,0.009595555,100.0,0.95
1170,230.0,0.009674104,100.0,0.95
1180,230.0,0.009755545,100.0,0.95
1190,230.0,0.009836533,100.0,0.95
1200,230.0,0.009930593,100.0,0.95
1210,230.0,0.010018215,100.0,0.95
1220,230.0,0.010102776,100.0,0.95
1230,230.0,0.010183649,100.0,0.95
1240,230.0,0.01026971,100.0,0.95
1250,230.0,0.010358355,100.0,0.95
1260,230.0,0.010444071,100.0,0.95
1270,230.0,0.010532416,100.0,0.95
1280,230.0,0.01066886,100.0,0.95
1290,230.0,0.010767894,100.0,0.95
1300,230.0,0.01087394,100.0,0.95
1310,230.0,0.01096646,100.0,0.95
1320,230.0,0.011062486,100.0,0.95
1330,230.0,0.011159814,100.0,0.95
1340,230.0,0.011257658,100.0,0.95
1350,230.0,0.01135605,100.0,0.95
1360,230.0,0.011453555,100.0,0.95
1370,230.0,0.011550743,100.0,0.95
1380,230.0,0.011646955,100.0,0.95
1390,230.0,0.012775125,100.0,0.95
1400,230.0,0.012878091,100.0,0.95
1410,230.0,0.012975835,100.0,0.95
1420,230.0,0.013097643,100.0,0.95
1430,230.0,0.01320322,100.0,0.95
1440,230.0,0.013303526,100.0,0.95
1450,230.0,0.013403686,100.0,0.95
1460,230.0,0.020281341,100.0,0.95
1470,230.0,0.020385144,100.0,0.95
1480,230.0,0.02047256,100.0,0.95
1490,230.0,0.02056456,100.0,0.95
1500,230.0,0.020652876,100.0,0.95
1510,230.0,0.02074117,100.0,0.95
1520,230.0,0.020828161,100.0,0.95
1530,230.0,0.020909618,100.0,0.95
1540,230.0,0.020989028,100.0,0.95
1550,230.0,0.021081596,100.0,0.95
1560,230.0,0.021176534,100.0,0.95
1570,230.0,0.021266701,100.0,0.95
1580,230.0,0.021353339,100.0,0.95
1590,230.0,0.02143984,100.0,0.95
1600,230.0,0.021523489,100.0,0.95
1610,230.0,0.021609974,100.0,0.95
1620,230.0,0.021702634,100.0,0.95
1630,230.0,0.021800345,100.0,0.95
1640,230.0,0.02188797,100.0,0.95
1650,230.0,0.02197252,100.0,0.95
1660,230.0,0.02205332,100.0,0.95
1670,230.0,0.022139096,100.0,0.95
1680,230.0,0.022227251,100.0,0.95
1690,230.0,0.022321193,100.0,0.95
1700,230.0,0.022409209,100.0,0.95
1710,230.0,0.022509314,100.0,0.95
1720,230.0,0.022612761,100.0,0.95
1730,230.0,0.02271028,100.0,0.95
1740,230.0,0.022816751,100.0,0.95
1750,230.0,0.022926468,100.0,0.95
1760,230.0,0.023032188,100.0,0.95
1770,230.0,0.023139728,100.0,0.95
1780,230.0,0.023237228,100.0,0.95
1790,230.0,0.023336678,100.0,0.95
1800,230.0,0.023444188,100.0,0.95
1810,230.0,0.023545504,100.0,0.95
1820,230.0,0.02364527,100.0,0.95
1830,230.0,0.023753028,100.0,0.95
1840,230.0,0.023853841,100.0,0.95
1850,230.0,0.023961561,100.0,0.95
1860,231.0,0.024069059,100.0,0.95
1870,231.0,0.024171421,100.0,0.95
1880,231.0,0.024278261,100.0,0.95
1890,231.0,0.024384733,100.0,0.95
1900,231.0,0.024483714,100.0,0.95
1910,231.0,0.024591185,100.0,0.95
1920,231.0,0.024698431,100.0,0.95
1930,231.0,0.024794674,100.0,0.95
1940,231.0,0.024900549,100.0,0.95
1950,231.0,0.02500798,100.0,0.95
1960,231.0,0.025110094,100.0,0.95
1970,231.0,0.02521942,100.0,0.95
1980,231.0,0.025323228,100.0,0.95
1990,231.0,0.025428716,100.0,0.95
2000,231.0,0.025537369,100.0,0.95
2010,232.0,0.025642145,100.0,0.95
2020,232.0,0.025751156,100.0,0.95
2030,232.0,0.025856055,100.0,0.95
2040,232.0,0.025950305,100.0,0.95
2050,232.0,0.026049346,100.0,0.95
2060,232.0,0.026144419,100.0,0.95
2070,232.0,0.026245519,100.0,0.95
2080,232.0,0.026346699,100.0,0.95
2090,232.0,0.026450918,100.0,0.95
2100,232.0,0.026553496,100.0,0.95
2110,232.0,0.026658913,100.0,0.95
2120,232.0,0.026759716,100.0,0.95
2130,232.0,0.026865174,100.0,0.95
2140,233.0,0.026971936,100.0,0.95
2150,233.0,0.027081135,100.0,0.95
2160,233.0,0.027178778,100.0,0.95
2170,233.0,0.027278999,100.0,0.95
2180,233.0,0.02737624,100.0,0.95
2190,233.0,0.027478584,100.0,0.95
2200,233.0,0.027583021,100.0,0.95
2210,233.0,0.027686699,100.0,0.95
2220,233.0,0.027786869,100.0,0.95
2230,233.0,0.027886838,100.0,0.95
2240,233.0,0.027982538,100.0,0.95
2250,233.0,0.028081426,100.0,0.95
2260,233.0,0.028175335,100.0,0.95
2270,233.0,0.028276976,100.0,0.95
2280,233.0,0.028379761,100.0,0.95
2290,233.0,0.028588895,100.0,0.95
2300,233.0,0.028706915,100.0,0.95
2310,233.0,0.029786065,100.0,0.95
2320,233.0,0.029984769,100.0,0.95
2330,233.0,0.030362411,100.0,0.95
2340,233.0,0.030472279,100.0,0.95
2350,233.0,0.0305755,100.0,0.95
2360,233.0,0.030674081,100.0,0.95
2370,233.0,0.030786216,100.0,0.95
2380,233.0,0.030884361,100.0,0.95
2390,233.0,0.030986714,100.0,0.95
2400,233.0,0.031089143,100.0,0.95
2410,233.0,0.031186378,100.0,0.95
2420,233.0,0.031280174,100.0,0.95
2430,233.0,0.031375274,100.0,0.95
2440,233.0,0.031500408,100.0,0.95
2450,233.0,0.033414515,100.0,0.95
2460,233.0,0.03352486,100.0,0.95
2470,233.0,0.033632486,100.0,0.95
2480,233.0,0.033736049,100.0,0.95
2490,233.0,0.033841715,100.0,0.95
2500,233.0,0.033948711,100.0,0.95
2510,233.0,0.034051008,100.0,0.95
2520,233.0,0.03415537,100.0,0.95
2530,233.0,0.034262035,100.0,0.95
2540,233.0,0.03436642,100.0,0.95
2550,233.0,0.034466856,100.0,0.95
2560,233.0,0.034569808,100.0,0.95
2570,233.0,0.034665531,100.0,0.95
2580,233.0,0.034765793,100.0,0.95
2590,233.0,0.034863408,100.0,0.95
2600,233.0,0.034960888,100.0,0.95
2610,233.0,0.035058929,100.0,0.95
2620,234.0,0.035157446,100.0,0.95
2630,234.0,0.035263433,100.0,0.95
2640,234.0,0.03536892,100.0,0.95
2650,234.0,0.035476244,100.0,0.95
2660,234.0,0.035583559,100.0,0.95
2670,234.0,0.035688366,100.0,0.95
2680,234.0,0.035794323,100.0,0.95
2690,234.0,0.035901683,100.0,0.95
