a,b,c,d,e
10,22.0,0.014945426,10.0,0.95
20,224.0,0.114313165,10.0,0.95
30,224.0,0.114934518,10.0,0.95
40,224.0,0.177976308,10.0,0.95
50,225.0,0.178550256,10.0,0.95
60,225.0,0.179228947,10.0,0.95
70,225.0,0.180030962,10.0,0.95
80,225.0,0.27785696,10.0,0.95
90,225.0,0.278162342,10.0,0.95
100,225.0,0.278418008,10.0,0.95
110,225.0,0.278626692,10.0,0.95
120,226.0,0.278926592,10.0,0.95
130,226.0,0.279234718,10.0,0.95
140,226.0,0.279523654,10.0,0.95
150,226.0,0.279766152,10.0,0.95
160,226.0,0.280040195,10.0,0.95
170,226.0,0.280266789,10.0,0.95
180,226.0,0.280483701,10.0,0.95
190,226.0,0.280687135,10.0,0.95
200,226.0,0.281881365,10.0,0.95
210,226.0,0.325718669,10.0,0.95
220,226.0,0.326044931,10.0,0.95
230,226.0,0.326378532,10.0,0.95
240,226.0,0.326704686,10.0,0.95
250,226.0,0.374530058,10.0,0.95
260,226.0,0.374692168,10.0,0.95
270,226.0,0.374860355,10.0,0.95
280,226.0,0.375068421,10.0,0.95
290,226.0,0.375253934,10.0,0.95
300,226.0,0.37544973,10.0,0.95
310,226.0,0.375593741,10.0,0.95
320,226.0,0.375736767,10.0,0.95
330,226.0,0.375933105,10.0,0.95
340,226.0,0.376131639,10.0,0.95
350,226.0,0.376376083,10.0,0.95
360,235.0,0.37658581,10.0,0.95
370,235.0,0.376825055,10.0,0.95
380,235.0,0.37697022,10.0,0.95
390,235.0,0.377186751,10.0,0.95
400,235.0,0.377356098,10.0,0.95
410,235.0,0.384645589,10.0,0.95
420,235.0,0.384746707,10.0,0.95
430,235.0,0.384850162,10.0,0.95
440,235.0,0.384950865,10.0,0.95
450,235.0,0.385050943,10.0,0.95
460,235.0,0.385149073,10.0,0.95
470,235.0,0.385246502,10.0,0.95
480,235.0,0.385344515,10.0,0.95
490,236.0,0.385444617,10.0,0.95
500,236.0,0.389592557,10.0,0.95
510,236.0,0.389693899,10.0,0.95
520,236.0,0.389817318,10.0,0.95
530,236.0,0.389932103,10.0,0.95
540,236.0,0.390047943,10.0,0.95
550,236.0,0.394921108,10.0,0.95
560,237.0,0.395031784,10.0,0.95
570,238.0,0.395148999,10.0,0.95
580,238.0,0.395263923,10.0,0.95
590,238.0,0.395378595,10.0,0.95
600,238.0,0.395487419,10.0,0.95
610,238.0,0.395595101,10.0,0.95
620,238.0,0.395705008,10.0,0.95
630,238.0,0.397082239,10.0,0.95
640,238.0,0.397193547,10.0,0.95
650,238.0,0.397295508,10.0,0.95
660,238.0,0.397407351,10.0,0.95
670,238.0,0.397504047,10.0,0.95
680,238.0,0.410294469,10.0,0.95
690,238.0,0.410465438,10.0,0.95
700,238.0,0.412945958,10.0,0.95
710,238.0,0.413041347,10.0,0.95
720,238.0,0.416970598,10.0,0.95
730,238.0,0.417080477,10.0,0.95
740,239.0,0.417160002,10.0,0.95
750,240.0,0.563375719,10.0,0.95
760,240.0,0.563458116,10.0,0.95
770,240.0,0.563534456,10.0,0.95
780,240.0,0.579104595,10.0,0.95
790,240.0,0.579185309,10.0,0.95
800,240.0,0.579254425,10.0,0.95
810,240.0,0.594079484,10.0,0.95
820,240.0,0.594164683,10.0,0.95
830,240.0,0.594246696,10.0,0.95
840,240.0,0.713337724,10.0,0.95
850,240.0,0.713443504,10.0,0.95
860,240.0,0.729619425,10.0,0.95
870,240.0,0.729735597,10.0,0.95
880,240.0,0.729842745,10.0,0.95
890,240.0,0.729957242,10.0,0.95
900,240.0,0.730065097,10.0,0.95
910,240.0,0.730176496,10.0,0.95
920,240.0,0.733655873,10.0,0.95
930,240.0,0.733767925,10.0,0.95
940,240.0,0.733870119,10.0,0.95
950,240.0,0.733970395,10.0,0.95
960,240.0,0.73406233,10.0,0.95
970,240.0,0.734168433,10.0,0.95
980,240.0,0.734262641,10.0,0.95
990,240.0,0.735887731,10.0,0.95
1000,240.0,0.735989351,10.0,0.95
1010,240.0,0.736086741,10.0,0.95
1020,240.0,0.736180213,10.0,0.95
1030,240.0,0.736281588,10.0,0.95
1040,240.0,0.736377964,10.0,0.95
1050,240.0,0.736513527,10.0,0.95
1060,240.0,0.773222868,10.0,0.95
1070,240.0,0.773378824,10.0,0.95
1080,240.0,0.773485957,10.0,0.95
1090,240.0,0.773630361,10.0,0.95
1100,240.0,0.789764053,10.0,0.95
1110,240.0,0.789891242,10.0,0.95
1120,240.0,0.789989859,10.0,0.95
1130,240.0,0.790843989,10.0,0.95
1140,240.0,0.790980984,10.0,0.95
1150,240.0,0.791181896,10.0,0.95
1160,240.0,0.792019951,10.0,0.95
1170,240.0,0.792128851,10.0,0.95
1180,240.0,0.792262264,10.0,0.95
1190,240.0,0.804375517,10.0,0.95
1200,240.0,0.804512948,10.0,0.95
1210,240.0,0.80466665,10.0,0.95
1220,240.0,0.804813419,10.0,0.95
1230,240.0,0.808688491,10.0,0.95
1240,240.0,0.80882361,10.0,0.95
1250,240.0,0.808956716,10.0,0.95
1260,240.0,0.809098275,10.0,0.95
1270,240.0,0.809235788,10.0,0.95
1280,240.0,0.809380145,10.0,0.95
1290,240.0,0.809999119,10.0,0.95
1300,240.0,0.810141162,10.0,0.95
1310,240.0,0.810278074,10.0,0.95
1320,240.0,0.81042318,10.0,0.95
1330,240.0,0.810561981,10.0,0.95
1340,240.0,0.810716399,10.0,0.95
1350,240.0,0.810878416,10.0,0.95
1360,240.0,0.811067235,10.0,0.95
1370,240.0,0.953763938,10.0,0.95
1380,240.0,0.953864803,10.0,0.95
1390,240.0,0.953962114,10.0,0.95
1400,240.0,0.954058821,10.0,0.95
1410,240.0,0.954159941,10.0,0.95
1420,240.0,0.9542581,10.0,0.95
1430,240.0,0.954369875,10.0,0.95
1440,240.0,0.954488742,10.0,0.95
1450,241.0,0.95460563,10.0,0.95
1460,241.0,0.954731703,10.0,0.95
1470,241.0,0.954848985,10.0,0.95
1480,241.0,0.954969794,10.0,0.95
1490,241.0,0.955095735,10.0,0.95
1500,241.0,0.955217046,10.0,0.95
1510,241.0,0.955339636,10.0,0.95
1520,241.0,0.955460529,10.0,0.95
1530,241.0,0.955579276,10.0,0.95
1540,241.0,0.955723488,10.0,0.95
1550,241.0,0.955862654,10.0,0.95
1560,241.0,0.956152763,10.0,0.95
1570,241.0,0.956278606,10.0,0.95
1580,241.0,0.956406596,10.0,0.95
1590,241.0,0.956533186,10.0,0.95
1600,242.0,0.95666408,10.0,0.95
1610,242.0,0.956795168,10.0,0.95
1620,242.0,0.956949393,10.0,0.95
1630,242.0,0.957072468,10.0,0.95
1640,242.0,0.957186121,10.0,0.95
1650,242.0,0.957312096,10.0,0.95
1660,242.0,0.957441964,10.0,0.95
1670,242.0,0.957689704,10.0,0.95
1680,242.0,0.957825168,10.0,0.95
1690,242.0,0.957962181,10.0,0.95
1700,242.0,0.958083479,10.0,0.95
1710,243.0,0.958204238,10.0,0.95
1720,244.0,0.958317162,10.0,0.95
1730,244.0,0.958421034,10.0,0.95
1740,244.0,0.958652099,10.0,0.95
1750,244.0,0.958790185,10.0,0.95
1760,244.0,0.958935882,10.0,0.95
1770,244.0,0.959063319,10.0,0.95
1780,244.0,0.959193025,10.0,0.95
1790,245.0,0.959318578,10.0,0.95
1800,245.0,0.959444867,10.0,0.95
1810,245.0,0.959582862,10.0,0.95
1820,245.0,0.959717915,10.0,0.95
1830,245.0,0.959849905,10.0,0.95
1840,245.0,0.959980591,10.0,0.95
1850,245.0,0.960108771,10.0,0.95
1860,245.0,0.960241106,10.0,0.95
1870,245.0,0.96037571,10.0,0.95
1880,245.0,0.960951844,10.0,0.95
1890,245.0,0.961098458,10.0,0.95
1900,245.0,0.961235293,10.0,0.95
1910,245.0,0.961370971,10.0,0.95
1920,245.0,0.961485718,10.0,0.95
1930,245.0,0.961683077,10.0,0.95
1940,245.0,0.96183399,10.0,0.95
1950,245.0,0.96199859,10.0,0.95
1960,245.0,0.962169794,10.0,0.95
1970,245.0,0.962325146,10.0,0.95
1980,245.0,0.962489684,10.0,0.95
1990,245.0,0.962666891,10.0,0.95
2000,245.0,0.962808831,10.0,0.95
2010,245.0,0.962950488,10.0,0.95
2020,245.0,0.963096647,10.0,0.95
2030,245.0,0.963239119,10.0,0.95
2040,245.0,0.963394631,10.0,0.95
2050,245.0,0.963565166,10.0,0.95
2060,245.0,0.963718951,10.0,0.95
2070,245.0,0.963885231,10.0,0.95
2080,245.0,0.964040036,10.0,0.95
2090,245.0,0.964212449,10.0,0.95
2100,245.0,0.964363785,10.0,0.95
2110,245.0,0.964525545,10.0,0.95
2120,245.0,0.964707757,10.0,0.95
2130,246.0,0.964871629,10.0,0.95
2140,246.0,0.965029091,10.0,0.95
2150,246.0,0.965205642,10.0,0.95
2160,246.0,0.965348811,10.0,0.95
2170,246.0,0.965556326,10.0,0.95
2180,246.0,0.965724455,10.0,0.95
2190,246.0,0.965897847,10.0,0.95
2200,246.0,0.966076107,10.0,0.95
2210,246.0,0.966396409,10.0,0.95
2220,246.0,0.966542256,10.0,0.95
2230,247.0,0.966710091,10.0,0.95
2240,248.0,0.966849268,10.0,0.95
2250,248.0,0.967017929,10.0,0.95
2260,248.0,0.967190682,10.0,0.95
2270,248.0,0.967346196,10.0,0.95
2280,248.0,0.967536513,10.0,0.95
2290,248.0,0.967705733,10.0,0.95
2300,248.0,0.967874426,10.0,0.95
2310,248.0,0.96805028,10.0,0.95
2320,248.0,0.968220582,10.0,0.95
2330,248.0,0.96839716,10.0,0.95
2340,249.0,0.968568122,10.0,0.95
2350,249.0,0.968754753,10.0,0.95
2360,249.0,0.968933244,10.0,0.95
2370,252.0,0.969108721,10.0,0.95
2380,255.0,0.969304838,10.0,0.95
2390,255.0,0.96950301,10.0,0.95
2400,255.0,0.969736735,10.0,0.95
2410,255.0,0.96993501,10.0,0.95
2420,255.0,0.970119047,10.0,0.95
2430,255.0,0.970290133,10.0,0.95
2440,255.0,0.97047809,10.0,0.95
2450,255.0,0.970644426,10.0,0.95
2460,255.0,0.970847375,10.0,0.95
2470,255.0,0.971040921,10.0,0.95
2480,255.0,0.971235701,10.0,0.95
2490,255.0,0.971429871,10.0,0.95
2500,255.0,0.971628071,10.0,0.95
2510,255.0,0.971837392,10.0,0.95
2520,255.0,0.972030258,10.0,0.95
2530,255.0,0.972210842,10.0,0.95
2540,255.0,0.972390591,10.0,0.95
2550,255.0,0.9725654,10.0,0.95
2560,255.0,0.972746273,10.0,0.95
2570,255.0,0.972937983,10.0,0.95
2580,255.0,0.973134591,10.0,0.95
2590,255.0,0.973316226,10.0,0.95
2600,255.0,0.973506923,10.0,0.95
2610,255.0,0.973744149,10.0,0.95
2620,255.0,0.973971533,10.0,0.95
2630,255.0,0.974176728,10.0,0.95
2640,255.0,0.974374169,10.0,0.95
2650,255.0,0.974570489,10.0,0.95
2660,255.0,0.9747741,10.0,0.95
2670,255.0,0.974982113,10.0,0.95
2680,255.0,0.975163134,10.0,0.95
2690,255.0,0.975375103,10.0,0.95
2700,255.0,0.975564319,10.0,0.95
2710,255.0,0.975774759,10.0,0.95
