a,b,c,d,e
10,18.0,0.025666831,100.0,0.5
20,21.0,0.026371812,100.0,0.5
30,25.0,0.026989475,100.0,0.5
40,25.0,0.034083024,100.0,0.5
50,26.0,0.034938379,100.0,0.5
60,27.0,0.035756191,100.0,0.5
70,27.0,0.03680807,100.0,0.5
80,27.0,0.037567117,100.0,0.5
90,27.0,0.043422452,100.0,0.5
100,28.0,0.044125519,100.0,0.5
110,28.0,0.04506517,100.0,0.5
120,28.0,0.046044405,100.0,0.5
130,28.0,0.070652004,100.0,0.5
140,29.0,0.085735156,100.0,0.5
150,31.0,0.08637235,100.0,0.5
160,31.0,0.086899446,100.0,0.5
170,31.0,0.08757907,100.0,0.5
180,231.0,0.102099734,100.0,0.5
190,231.0,0.104748528,100.0,0.5
200,231.0,0.154722862,100.0,0.5
210,231.0,0.154946773,100.0,0.5
220,231.0,0.155046954,100.0,0.5
230,231.0,0.155153006,100.0,0.5
240,231.0,0.155268221,100.0,0.5
250,231.0,0.23088096,100.0,0.5
260,231.0,0.230943116,100.0,0.5
270,231.0,0.230998041,100.0,0.5
280,231.0,0.231058323,100.0,0.5
290,231.0,0.231121577,100.0,0.5
300,231.0,0.231178589,100.0,0.5
310,231.0,0.231235798,100.0,0.5
320,231.0,0.231295343,100.0,0.5
330,231.0,0.231355069,100.0,0.5
340,231.0,0.231412436,100.0,0.5
350,231.0,0.231469073,100.0,0.5
360,231.0,0.231527074,100.0,0.5
370,231.0,0.231582164,100.0,0.5
380,231.0,0.231640667,100.0,0.5
390,231.0,0.231701548,100.0,0.5
400,231.0,0.231757434,100.0,0.5
410,231.0,0.231816695,100.0,0.5
420,231.0,0.231876231,100.0,0.5
430,231.0,0.231940588,100.0,0.5
440,231.0,0.231996762,100.0,0.5
450,231.0,0.23205423,100.0,0.5
460,231.0,0.23211474,100.0,0.5
470,231.0,0.232172772,100.0,0.5
480,233.0,0.232233407,100.0,0.5
490,233.0,0.232291956,100.0,0.5
500,233.0,0.232355426,100.0,0.5
510,233.0,0.232410342,100.0,0.5
520,233.0,0.232470478,100.0,0.5
530,233.0,0.232533393,100.0,0.5
540,233.0,0.232590267,100.0,0.5
550,233.0,0.23265438,100.0,0.5
560,233.0,0.23271788,100.0,0.5
570,233.0,0.232784157,100.0,0.5
580,233.0,0.23284967,100.0,0.5
590,233.0,0.2329107,100.0,0.5
600,234.0,0.232977004,100.0,0.5
610,234.0,0.233039696,100.0,0.5
620,234.0,0.233101047,100.0,0.5
630,234.0,0.233173746,100.0,0.5
640,234.0,0.233237792,100.0,0.5
650,234.0,0.2333021,100.0,0.5
660,234.0,0.233366867,100.0,0.5
670,234.0,0.233435049,100.0,0.5
680,234.0,0.233496148,100.0,0.5
690,234.0,0.233564185,100.0,0.5
700,234.0,0.245338523,100.0,0.5
710,234.0,0.2454011,100.0,0.5
720,234.0,0.349734129,100.0,0.5
730,234.0,0.3498135,100.0,0.5
740,234.0,0.34989412,100.0,0.5
750,234.0,0.349969502,100.0,0.5
760,234.0,0.350051905,100.0,0.5
770,234.0,0.350133281,100.0,0.5
780,234.0,0.350203733,100.0,0.5
790,234.0,0.350294065,100.0,0.5
800,234.0,0.350393529,100.0,0.5
810,234.0,0.350472376,100.0,0.5
820,234.0,0.350540864,100.0,0.5
830,234.0,0.350618362,100.0,0.5
840,234.0,0.350697043,100.0,0.5
850,234.0,0.350772769,100.0,0.5
860,234.0,0.350847444,100.0,0.5
870,234.0,0.350926246,100.0,0.5
880,234.0,0.351001276,100.0,0.5
890,234.0,0.351079044,100.0,0.5
900,234.0,0.351153732,100.0,0.5
910,234.0,0.351236944,100.0,0.5
920,234.0,0.351317864,100.0,0.5
930,234.0,0.35140107,100.0,0.5
940,234.0,0.351496868,100.0,0.5
950,234.0,0.351585313,100.0,0.5
960,234.0,0.351738051,100.0,0.5
970,234.0,0.351822007,100.0,0.5
980,234.0,0.35190937,100.0,0.5
990,234.0,0.351995381,100.0,0.5
