a,b,c,d,e,f
10,2406.070275795008,0.004012058,200,150,25
20,2541.0421431528844,0.007759944,200,150,25
30,2284.0521535364173,0.02892889,200,150,25
40,2302.267386800403,0.276809703,200,150,25
50,2299.0479457170613,0.671759381,200,150,25
60,2373.341149435232,0.674401795,200,150,25
70,2375.7100238731105,0.677018064,200,150,25
80,2375.7100238731105,0.678639081,200,150,25
90,2497.801891709205,0.679716639,200,150,25
100,2379.081702793801,0.681150096,200,150,25
110,2327.671777615523,0.700141519,200,150,25
120,2433.8235023243337,0.704556086,200,150,25
130,2568.500631821893,0.70913861,200,150,25
140,2488.3559869506444,0.710302394,200,150,25
150,2490.5248832330935,0.711350701,200,150,25
160,2558.809323979268,0.712504161,200,150,25
170,2611.8744169961255,0.714318645,200,150,25
180,2661.165299151765,0.757794429,200,150,25
190,2482.6192298348433,0.75949149,200,150,25
200,2451.3751641361923,0.760854415,200,150,25
210,2545.1719838037884,0.762285844,200,150,25
220,2601.484123536785,0.764033181,200,150,25
230,2608.5637665517797,0.765579732,200,150,25
240,2661.218274648615,0.767180115,200,150,25
250,2643.5755594168236,0.926422149,200,150,25
260,2613.243952741332,0.927759155,200,150,25
270,2705.8034577880867,0.93058194,200,150,25
280,2700.1902733312672,0.975361757,200,150,25
290,2756.6586538878896,0.977482075,200,150,25
300,2646.9841073094385,0.979369436,200,150,25
310,2718.0663876232857,1.012670656,200,150,25
320,2682.1905365675693,1.013684692,200,150,25
330,2763.373135945073,1.014871524,200,150,25
340,2834.8316280949466,1.016019097,200,150,25
350,2790.261292090271,1.01815625,200,150,25
360,2689.581169582077,1.019574566,200,150,25
370,2872.3531549816057,1.020929425,200,150,25
380,2832.13154822622,1.022307211,200,150,25
390,2884.9464933541944,1.097592008,200,150,25
400,2787.0190261661683,1.099074102,200,150,25
410,2835.3874173354507,1.100786812,200,150,25
420,2831.998809914872,1.102836298,200,150,25
430,2867.0841286709874,1.103783698,200,150,25
440,2867.0841286709874,1.104845117,200,150,25
450,2842.6853867597574,1.105916386,200,150,25
460,2842.040708463066,1.106978545,200,150,25
470,2824.6299275351416,1.196181957,200,150,25
480,2800.6470410474317,1.199806045,200,150,25
490,2885.4584857782083,1.201806906,200,150,25
500,2832.517506622172,1.202768325,200,150,25
510,2781.198645654023,1.203694068,200,150,25
520,2883.0751561188345,1.204659777,200,150,25
530,2847.26935266355,1.205604891,200,150,25
540,2847.26935266355,1.206539926,200,150,25
550,2830.454720968419,1.207495108,200,150,25
560,2861.1803363531417,1.323138411,200,150,25
570,2830.454720968419,1.328224607,200,150,25
580,2837.157134017253,1.329356575,200,150,25
590,2837.157134017253,1.331279196,200,150,25
600,2795.127427846758,1.3329815,200,150,25
610,2871.6625955165546,1.334644587,200,150,25
620,2941.2145282549445,1.336252096,200,150,25
630,2899.224946717469,1.431744601,200,150,25
640,2890.552540972337,1.432806125,200,150,25
650,2925.223514218407,1.433767796,200,150,25
660,2945.612132993563,1.434709576,200,150,25
670,2861.008920379888,1.435785238,200,150,25
680,2881.1160054897127,1.436787743,200,150,25
690,2872.1764843640485,1.437724871,200,150,25
700,2932.4116387894665,1.438654327,200,150,25
710,2943.202787198361,1.439558956,200,150,25
720,2932.4116387894665,1.44049477,200,150,25
730,2958.9582768818746,1.529872888,200,150,25
740,2931.251360567609,1.535319448,200,150,25
750,2923.5786449807792,1.537147518,200,150,25
760,2868.0374670041347,1.549990575,200,150,25
770,2870.0124369976993,1.551181655,200,150,25
780,2928.0782065498834,1.552249036,200,150,25
790,2863.1909004735844,1.553450042,200,150,25
800,2887.9754227048097,1.554586167,200,150,25
810,2977.8206558733423,1.557136016,200,150,25
820,2955.1453803654595,1.558716928,200,150,25
830,2895.757193621592,1.561402923,200,150,25
840,2866.0347946752763,1.562994002,200,150,25
850,2918.9317165629855,1.564317346,200,150,25
860,2918.9317165629855,1.565623658,200,150,25
870,2918.9317165629855,1.566828991,200,150,25
880,2918.712740371837,1.568037897,200,150,25
890,2897.818159688759,1.569428421,200,150,25
900,2976.2676251787407,1.744310489,200,150,25
910,2940.5026573964687,1.746235738,200,150,25
920,2935.496721040814,1.748188959,200,150,25
930,2920.3993562679952,1.749799424,200,150,25
940,2939.132344400119,1.755605038,200,150,25
950,2942.6512438316777,1.757869408,200,150,25
960,2875.909390042462,1.759517267,200,150,25
970,2923.273120193987,1.760919481,200,150,25
980,2972.6532333076693,1.763235136,200,150,25
990,2972.6532333076693,1.765010399,200,150,25
1000,2950.1480229840427,1.766928334,200,150,25
1010,2975.128481275392,1.771967476,200,150,25
1020,2950.1480229840427,1.773836808,200,150,25
1030,2958.202290267028,1.776930771,200,150,25
1040,2955.771568448654,1.778781998,200,150,25
1050,2919.5414959110008,1.783862742,200,150,25
1060,2891.7595243500123,1.785832914,200,150,25
1070,2902.6970578126493,1.788080169,200,150,25
1080,2944.178423653331,1.789937896,200,150,25
1090,2944.178423653331,1.792196086,200,150,25
1100,2954.989872401092,1.793905248,200,150,25
1110,2944.178423653331,1.796261209,200,150,25
1120,2951.8902661501825,1.798039248,200,150,25
1130,2951.8902661501825,1.800177306,200,150,25
1140,2934.7746494421444,1.802426964,200,150,25
1150,2945.5235323149236,1.804502757,200,150,25
1160,2934.7746494421444,1.806842626,200,150,25
1170,2925.163378963159,1.809015348,200,150,25
1180,2898.7417800834014,1.811171148,200,150,25
1190,2957.0687859642394,1.813622467,200,150,25
1200,2979.4280450385536,2.160537118,200,150,25
1210,2979.4280450385536,2.172085367,200,150,25
1220,2979.4280450385536,2.173244401,200,150,25
1230,2979.4280450385536,2.174352758,200,150,25
1240,3001.6521153566664,2.175565921,200,150,25
1250,3001.6521153566664,2.181947496,200,150,25
1260,3001.6521153566664,2.183373484,200,150,25
1270,2969.387972789684,2.184511114,200,150,25
1280,2980.0047021120345,2.185620171,200,150,25
1290,2927.0277860884485,2.186757886,200,150,25
1300,2966.1137470162003,2.188059626,200,150,25
1310,2928.4184212958044,2.189285781,200,150,25
1320,2955.1717370687074,2.190818599,200,150,25
1330,2955.1717370687074,2.322249161,200,150,25
1340,2952.170916808517,2.323877924,200,150,25
1350,2989.92091045043,2.325492212,200,150,25
1360,2989.92091045043,2.327126414,200,150,25
1370,2989.92091045043,2.328998729,200,150,25
1380,2991.4134415213616,2.341492641,200,150,25
