a,b,c,d,e
10,2377.6677406992844,0.275004326,200,100
20,2596.3415565227665,0.633455023,200,100
30,2568.449432390921,1.081923849,200,100
40,2689.5752054130257,1.592049215,200,100
50,2816.4094872795554,1.683322701,200,100
60,2866.108254249371,1.97508741,200,100
70,2899.3712452252284,2.328584021,200,100
80,2918.1652626159394,2.496610177,200,100
90,2975.7251960902004,2.781973933,200,100
100,3007.648583686066,3.020038472,200,100
110,3032.442718472689,3.267796123,200,100
120,3059.1928800277806,3.55005473,200,100
130,3093.8591038972563,3.805816491,200,100
140,3118.384795674234,4.034795513,200,100
150,3124.2684396506147,4.224490325,200,100
160,3127.9923491952677,4.477413254,200,100
170,3147.6897519342806,4.624093515,200,100
180,3149.8107187073883,4.802292888,200,100
190,3161.6884140613865,4.89677103,200,100
200,3160.951145981856,5.052432776,200,100
210,3164.692571083532,5.23694895,200,100
220,3166.9083358297794,5.372413067,200,100
230,3171.0806153605126,5.542578699,200,100
240,3171.3080522511036,5.680351039,200,100
250,3177.948487690537,5.790172728,200,100
260,3177.948487690537,5.970889398,200,100
270,3179.9001340749264,6.099577244,200,100
280,3193.469072107525,6.216641575,200,100
290,3187.009018528928,6.353637752,200,100
300,3187.009018528928,6.486965155,200,100
310,3179.9001340749264,6.5954142,200,100
320,3174.5810283382116,6.761521887,200,100
330,3174.5810283382116,6.878572175,200,100
340,3174.5810283382116,7.078912891,200,100
350,3174.5810283382116,7.189918205,200,100
360,3174.5810283382116,7.331713518,200,100
370,3178.0324390143332,7.43353177,200,100
380,3174.5810283382116,7.582847857,200,100
390,3174.5810283382116,7.678714081,200,100
400,3172.640975529161,7.859091091,200,100
410,3174.5810283382116,7.97207578,200,100
420,3172.349692823077,8.12326824,200,100
430,3174.5810283382116,8.187468401,200,100
440,3172.349692823077,8.242582682,200,100
450,3172.349692823077,8.459919288,200,100
460,3172.349692823077,8.594424026,200,100
470,3172.349692823077,8.681663298,200,100
480,3172.349692823077,8.841416903,200,100
490,3178.563687918435,8.953165689,200,100
500,3172.349692823077,9.100115934,200,100
510,3172.349692823077,9.212474136,200,100
520,3172.349692823077,9.357892916,200,100
530,3172.349692823077,9.459762989,200,100
540,3172.349692823077,9.622805038,200,100
550,3172.349692823077,9.707361884,200,100
560,3172.349692823077,9.712525375,200,100
570,3172.349692823077,9.749517363,200,100
580,3172.349692823077,9.754933174,200,100
590,3172.349692823077,9.800723813,200,100
600,3172.349692823077,9.846348817,200,100
610,3172.349692823077,9.853175325,200,100
620,3172.349692823077,9.880375404,200,100
630,3172.349692823077,9.885685512,200,100
640,3177.5339500448163,9.919213684,200,100
650,3172.349692823077,9.94425511,200,100
660,3172.349692823077,9.95366641,200,100
670,3182.93365559871,9.986359629,200,100
680,3172.349692823077,10.053000588,200,100
690,3172.349692823077,10.067190104,200,100
700,3172.349692823077,10.110202637,200,100
710,3172.349692823077,10.14684971,200,100
720,3172.349692823077,10.161127369,200,100
730,3172.349692823077,10.206190294,200,100
740,3172.349692823077,10.215066744,200,100
750,3172.349692823077,10.256089599,200,100
760,3172.349692823077,10.261878546,200,100
770,3172.349692823077,10.293000401,200,100
780,3172.349692823077,10.323198663,200,100
790,3178.563687918435,10.32848359,200,100
800,3178.563687918435,10.356173838,200,100
810,3172.349692823077,10.362484559,200,100
820,3172.349692823077,10.390972284,200,100
830,3172.349692823077,10.464820428,200,100
840,3172.349692823077,10.469951263,200,100
850,3172.349692823077,10.504507608,200,100
860,3172.349692823077,10.510111449,200,100
870,3172.349692823077,10.541951333,200,100
880,3172.349692823077,10.55017976,200,100
890,3178.563687918435,10.56584814,200,100
900,3172.349692823077,10.571563379,200,100
910,3172.349692823077,10.596513931,200,100
920,3172.349692823077,10.634876971,200,100
930,3172.349692823077,10.652728566,200,100
940,3172.349692823077,10.688915346,200,100
950,3172.349692823077,10.70877891,200,100
960,3172.349692823077,10.747923589,200,100
970,3172.349692823077,10.810024456,200,100
980,3172.349692823077,10.827900532,200,100
990,3172.349692823077,10.876821842,200,100
1000,3172.349692823077,10.885506671,200,100
10,2492.491233660518,0.338646275,200,100
20,2474.490929365364,0.675251509,200,100
30,2719.675912800063,0.995502341,200,100
40,2763.867382850497,1.390401716,200,100
50,2895.764202137603,1.554809125,200,100
60,2983.63240271627,1.871420728,200,100
70,2949.8299499612067,2.173951773,200,100
80,3018.1924064951913,2.453964967,200,100
90,3069.944205330385,2.713351798,200,100
100,3092.6423092769605,2.885098588,200,100
110,3133.03329898288,3.131115023,200,100
120,3169.124051949935,3.476382138,200,100
130,3166.9222126871414,3.666462034,200,100
140,3181.777167268945,3.909882154,200,100
150,3201.6112290559417,4.136557197,200,100
160,3192.2832012576455,4.447558678,200,100
170,3199.8774893126088,4.716532627,200,100
180,3196.4583029984324,4.843585075,200,100
190,3207.8252241513,5.038248202,200,100
200,3205.2938933505084,5.144532781,200,100
210,3208.740912466874,5.290811713,200,100
220,3211.15109069347,5.482491423,200,100
230,3217.3650857888283,5.588706521,200,100
240,3237.708048902939,5.798388085,200,100
250,3208.740912466874,5.902633059,200,100
260,3208.740912466874,6.040634624,200,100
270,3243.9220439982973,6.167328142,200,100
280,3212.0623810569423,6.298925335,200,100
290,3212.0623810569423,6.506667666,200,100
300,3212.0623810569423,6.602349469,200,100
310,3208.740912466874,6.688638913,200,100
320,3212.0623810569423,6.776370464,200,100
330,3208.740912466874,6.914480905,200,100
340,3208.740912466874,7.057937505,200,100
350,3208.740912466874,7.219787981,200,100
360,3208.740912466874,7.369703886,200,100
370,3208.740912466874,7.434260054,200,100
380,3208.740912466874,7.585257049,200,100
390,3208.740912466874,7.692532165,200,100
400,3208.740912466874,7.8475689,200,100
410,3208.740912466874,7.954288333,200,100
420,3208.740912466874,8.137423752,200,100
430,3208.740912466874,8.225411412,200,100
440,3208.740912466874,8.346692317,200,100
450,3208.740912466874,8.444663326,200,100
460,3208.740912466874,8.579846431,200,100
470,3208.740912466874,8.753351117,200,100
480,3208.740912466874,8.874014143,200,100
490,3208.740912466874,8.959522059,200,100
500,3208.740912466874,9.078623825,200,100
510,3208.740912466874,9.232453005,200,100
520,3208.740912466874,9.343243624,200,100
530,3208.740912466874,9.505254202,200,100
540,3208.740912466874,9.600842963,200,100
550,3208.740912466874,9.737385213,200,100
560,3208.740912466874,9.85354889,200,100
570,3208.740912466874,9.99584899,200,100
580,3208.740912466874,10.053001949,200,100
590,3208.740912466874,10.058599746,200,100
600,3208.740912466874,10.139963838,200,100
610,3208.740912466874,10.152863008,200,100
620,3208.740912466874,10.180300925,200,100
630,3208.740912466874,10.186546998,200,100
640,3208.740912466874,10.214964379,200,100
650,3208.740912466874,10.247051135,200,100
660,3208.740912466874,10.253042023,200,100
670,3208.740912466874,10.314066288,200,100
680,3208.740912466874,10.319854813,200,100
690,3208.740912466874,10.348708573,200,100
700,3208.740912466874,10.383859633,200,100
710,3208.740912466874,10.389782081,200,100
720,3208.740912466874,10.439178936,200,100
730,3208.740912466874,10.44864842,200,100
740,3208.740912466874,10.494322637,200,100
750,3208.740912466874,10.500682764,200,100
760,3211.7360508103284,10.543124034,200,100
770,3208.740912466874,10.578902444,200,100
780,3208.740912466874,10.584563466,200,100
790,3208.740912466874,10.613681815,200,100
800,3208.740912466874,10.619538871,200,100
810,3208.740912466874,10.66252387,200,100
820,3208.740912466874,10.73125876,200,100
830,3208.740912466874,10.740236876,200,100
840,3212.0138885539823,10.781278687,200,100
850,3208.740912466874,10.793133416,200,100
860,3209.7432705956426,10.809649681,200,100
870,3208.740912466874,10.814729635,200,100
880,3208.740912466874,10.831383815,200,100
890,3208.740912466874,10.837661129,200,100
900,3208.740912466874,10.881281596,200,100
910,3208.740912466874,10.886722136,200,100
920,3208.740912466874,10.927272625,200,100
930,3208.740912466874,10.97083598,200,100
940,3208.740912466874,10.976089516,200,100
950,3208.740912466874,11.007960479,200,100
960,3208.740912466874,11.012949569,200,100
970,3208.740912466874,11.085649697,200,100
980,3208.740912466874,11.091458317,200,100
990,3208.740912466874,11.13642541,200,100
1000,3208.740912466874,11.161361606,200,100
10,2476.009208297946,0.412940012,200,100
20,2557.088167256146,0.678288942,200,100
30,2812.596030772911,0.990568031,200,100
40,2828.58804576088,1.213073368,200,100
50,2865.821293440565,1.58111356,200,100
60,2958.9515516139313,1.792042594,200,100
70,3053.135635609339,2.08230299,200,100
80,3012.038663336839,2.350222897,200,100
90,3080.1703535793913,2.552323092,200,100
100,3061.2839269927517,2.900249119,200,100
110,3069.4743508587944,3.129846505,200,100
120,3123.9446492273923,3.323301622,200,100
130,3152.866699060702,3.672450486,200,100
140,3155.056549826914,3.798703557,200,100
150,3158.8761041966222,4.075079078,200,100
160,3187.9305122434007,4.346900916,200,100
170,3205.337389137419,4.636631037,200,100
180,3228.542822758151,4.788411428,200,100
190,3223.2009707315037,4.987528274,200,100
200,3237.7654859860577,5.122789354,200,100
210,3237.4732800216366,5.233653494,200,100
220,3243.404647388547,5.428914394,200,100
230,3245.5244613464397,5.566929818,200,100
240,3245.5244613464397,5.754340559,200,100
250,3261.758318475958,5.87868325,200,100
260,3245.5244613464397,5.965431662,200,100
270,3245.5244613464397,6.103152324,200,100
280,3245.5244613464397,6.236850267,200,100
290,3245.5244613464397,6.334721694,200,100
300,3246.922910741319,6.527814448,200,100
310,3245.5244613464397,6.651100492,200,100
320,3245.5244613464397,6.734104907,200,100
330,3245.935978189338,6.829404363,200,100
340,3248.0403665704434,6.986325758,200,100
350,3279.971327679266,7.084007022,200,100
360,3243.404647388547,7.293080448,200,100
370,3243.404647388547,7.390273553,200,100
380,3243.404647388547,7.613613148,200,100
390,3243.404647388547,7.710662764,200,100
400,3243.404647388547,7.858128099,200,100
410,3243.404647388547,7.957171002,200,100
420,3243.404647388547,8.128773417,200,100
430,3243.404647388547,8.218156015,200,100
440,3243.404647388547,8.344799622,200,100
450,3243.404647388547,8.451614863,200,100
460,3243.404647388547,8.586648878,200,100
470,3243.404647388547,8.720799243,200,100
480,3243.404647388547,8.832816496,200,100
490,3243.404647388547,8.94155339,200,100
500,3243.404647388547,9.055464686,200,100
510,3243.404647388547,9.17840822,200,100
520,3243.404647388547,9.325430639,200,100
530,3243.404647388547,9.428661484,200,100
540,3243.404647388547,9.571960381,200,100
550,3243.404647388547,9.675566207,200,100
560,3243.404647388547,9.795501316,200,100
570,3243.404647388547,9.915565456,200,100
580,3243.404647388547,10.058763005,200,100
590,3243.404647388547,10.065841155,200,100
600,3243.404647388547,10.118301433,200,100
610,3243.404647388547,10.123474961,200,100
620,3243.404647388547,10.157784832,200,100
630,3254.284710743767,10.163222182,200,100
640,3243.404647388547,10.186780858,200,100
650,3243.404647388547,10.209952738,200,100
660,3243.404647388547,10.22205274,200,100
670,3243.404647388547,10.25378044,200,100
680,3243.404647388547,10.261530413,200,100
690,3243.404647388547,10.320473683,200,100
700,3243.404647388547,10.349194017,200,100
710,3243.404647388547,10.369510483,200,100
720,3243.404647388547,10.408751181,200,100
730,3243.404647388547,10.420448023,200,100
740,3243.404647388547,10.480587923,200,100
750,3243.404647388547,10.517975863,200,100
760,3243.404647388547,10.523835277,200,100
770,3243.404647388547,10.557450431,200,100
780,3243.404647388547,10.563252341,200,100
790,3243.404647388547,10.593987311,200,100
800,3243.404647388547,10.626090371,200,100
810,3243.404647388547,10.632270474,200,100
820,3243.404647388547,10.702767927,200,100
830,3243.404647388547,10.709354492,200,100
840,3243.404647388547,10.751513714,200,100
850,3243.404647388547,10.768345827,200,100
860,3243.404647388547,10.848308559,200,100
870,3243.404647388547,10.904384193,200,100
880,3243.404647388547,10.910448154,200,100
890,3243.404647388547,10.943775042,200,100
900,3243.404647388547,10.951558073,200,100
910,3243.404647388547,10.992465196,200,100
920,3243.404647388547,11.051337694,200,100
930,3243.404647388547,11.059564792,200,100
940,3243.404647388547,11.109541634,200,100
950,3243.404647388547,11.115053392,200,100
960,3243.404647388547,11.150184302,200,100
970,3243.404647388547,11.155663408,200,100
980,3243.404647388547,11.178677357,200,100
990,3243.404647388547,11.209658353,200,100
1000,3243.404647388547,11.218499607,200,100
10,2530.7964814866946,0.262838861,200,100
20,2652.661941049575,0.654045406,200,100
30,2776.3779334376045,0.997922215,200,100
40,2796.316763638375,1.321408807,200,100
50,2885.202732772858,1.735611293,200,100
60,2992.467585172596,1.892971866,200,100
70,3033.198269241612,2.213978801,200,100
80,3068.052366107585,2.561876465,200,100
90,3104.029978123716,2.778134963,200,100
100,3151.054112303623,3.000630717,200,100
110,3156.93469825666,3.32159008,200,100
120,3221.780220960779,3.53865392,200,100
130,3219.546425569875,3.728372459,200,100
140,3227.4660820188005,4.001949946,200,100
150,3241.241082171411,4.129471124,200,100
160,3242.42403970621,4.470611163,200,100
170,3252.4711303319973,4.718967451,200,100
180,3240.970610475948,4.888952923,200,100
190,3257.736516306957,5.067907052,200,100
200,3262.7565192763786,5.184052511,200,100
210,3266.7087139959076,5.327912953,200,100
220,3266.7087139959076,5.478220519,200,100
230,3266.7087139959076,5.604824052,200,100
240,3266.7087139959076,5.762416305,200,100
250,3266.7087139959076,5.830158083,200,100
260,3268.2873863727264,5.983177419,200,100
270,3268.2873863727264,6.112330364,200,100
280,3271.643526820454,6.283720108,200,100
290,3266.7087139959076,6.407292267,200,100
300,3266.7087139959076,6.542554426,200,100
310,3266.7087139959076,6.673165568,200,100
320,3266.7087139959076,6.770532066,200,100
330,3262.5182209577843,6.901710486,200,100
340,3267.9404326352847,7.055521261,200,100
350,3262.5182209577843,7.154035685,200,100
360,3262.5182209577843,7.329919465,200,100
370,3262.5182209577843,7.452939826,200,100
380,3262.5182209577843,7.529641802,200,100
390,3262.5182209577843,7.730336737,200,100
400,3262.5182209577843,7.830851552,200,100
410,3262.5182209577843,7.978365026,200,100
420,3262.5182209577843,8.101627547,200,100
430,3262.5182209577843,8.247044202,200,100
440,3262.5182209577843,8.374553027,200,100
450,3262.5182209577843,8.566320786,200,100
460,3250.724103449684,8.736192077,200,100
470,3262.5182209577843,8.857492784,200,100
480,3250.724103449684,8.966298912,200,100
490,3250.724103449684,9.031875988,200,100
500,3250.724103449684,9.208221064,200,100
510,3262.5182209577843,9.312264613,200,100
