iterations,fitness,time,samples,tokeep
10,2741.824383877891,0.444904151,20,10
20,2851.837577743162,0.454677975,20,10
30,2854.5154190565345,0.965129106,20,10
40,2927.5191748047,1.002181467,20,10
50,3000.200355345529,1.010204843,20,10
60,3009.3660478590527,2.24959221,20,10
70,3061.976686535969,2.258047745,20,10
80,3007.427167886868,2.79931485,20,10
90,3081.5455426522135,2.802109726,20,10
100,3170.1786710429787,2.805117712,20,10
110,3239.928205781156,3.21158185,20,10
120,3142.9904847307616,3.215370656,20,10
130,3167.716789864256,3.221600965,20,10
140,3142.9904847307616,3.224895332,20,10
150,3154.8060316062606,3.231872834,20,10
160,3191.8913613632158,3.236067734,20,10
170,3195.128232916276,3.245757651,20,10
180,3226.1488723019174,3.253370596,20,10
190,3249.5922684844427,3.269080406,20,10
200,3233.5435009593216,3.273390556,20,10
210,3285.6142120613413,3.279956914,20,10
220,3268.121877519645,3.283914904,20,10
230,3268.121877519645,3.291772645,20,10
240,3268.121877519645,3.295521514,20,10
250,3268.121877519645,3.301080314,20,10
260,3268.121877519645,3.304251804,20,10
270,3209.017200867947,3.307079287,20,10
280,3209.017200867947,3.317032866,20,10
290,3293.4352684790283,3.321808792,20,10
300,3215.9141392784295,3.334111429,20,10
310,3288.1933868857554,3.990122161,20,10
320,3227.7158589143337,3.993490632,20,10
330,3234.243824041827,3.996119162,20,10
340,3254.3800497363914,4.308153624,20,10
350,3241.766489125341,4.336999154,20,10
360,3313.7704888411827,4.339573254,20,10
370,3306.894230382889,4.342245494,20,10
380,3300.9116695857133,4.345141573,20,10
390,3300.9116695857133,4.649816058,20,10
400,3333.229425478133,4.675459972,20,10
410,3373.129577933449,4.683875111,20,10
420,3358.616678688849,4.709001754,20,10
430,3373.129577933449,4.714196129,20,10
440,3373.129577933449,5.004413793,20,10
450,3373.129577933449,5.007323274,20,10
460,3429.569947871542,5.010242413,20,10
470,3337.321398646334,5.321800459,20,10
480,3359.5049484394854,5.325318148,20,10
490,3314.957250993578,5.328210649,20,10
500,3364.731665427892,5.331495303,20,10
510,3301.1370923738273,5.513345491,20,10
520,3379.9026199513187,5.515820974,20,10
530,3345.5269238460974,5.518292466,20,10
540,3366.441135973522,5.765783809,20,10
550,3333.229578682534,5.768251523,20,10
560,3333.229578682534,5.770800373,20,10
570,3333.229578682534,5.773585795,20,10
580,3323.3073885809363,6.107192034,20,10
590,3324.752119015701,6.109603634,20,10
600,3324.752119015701,6.111801309,20,10
610,3328.8838509189513,6.114575971,20,10
620,3324.752119015701,6.450985094,20,10
630,3324.752119015701,6.453659405,20,10
640,3324.752119015701,6.455944141,20,10
650,3301.1370923738273,6.458281917,20,10
660,3301.1370923738273,6.738104186,20,10
670,3301.1370923738273,6.740256867,20,10
680,3301.1370923738273,6.743493867,20,10
690,3374.7891326917043,6.74656445,20,10
700,3301.1370923738273,6.753150875,20,10
710,3370.2194573726883,6.755625259,20,10
720,3301.1370923738273,6.758105624,20,10
730,3301.1370923738273,6.760328061,20,10
740,3348.3992798758222,7.284901376,20,10
750,3336.5837330003237,7.287091262,20,10
760,3331.8794295589237,7.289343396,20,10
770,3313.8185781836482,7.29158364,20,10
780,3314.598576351624,7.300836807,20,10
790,3301.1370923738273,7.656071087,20,10
800,3310.7704098874765,7.658402502,20,10
810,3336.5837330003237,7.661013946,20,10
820,3336.5837330003237,7.663520533,20,10
830,3336.5837330003237,7.977601022,20,10
840,3310.7704098874765,7.979643441,20,10
850,3352.9794436930174,7.982100587,20,10
860,3301.1370923738273,7.984455072,20,10
870,3301.1370923738273,8.296805285,20,10
880,3301.1370923738273,8.299158322,20,10
