a,b,c,d,e
10,2603.412123610279,0.504431804,200,20
20,2757.227561219567,0.590971838,200,20
30,2862.0201368569533,1.10762292,200,20
40,2889.312499941099,1.117227412,200,20
50,2893.890369671107,1.269602145,200,20
60,2956.257178156782,1.564697653,200,20
70,2956.257178156782,1.571181498,200,20
80,2967.132215286926,2.096238242,200,20
90,2968.301996089471,2.192018142,200,20
100,2999.414436547802,2.587640576,200,20
110,2973.792088774643,2.594555929,200,20
120,2998.2526803621045,2.666039586,200,20
130,2994.094311663489,3.157263625,200,20
140,2987.013457662314,3.164421576,200,20
150,2983.809256363129,3.331496282,200,20
160,2983.809256363129,3.347946306,200,20
170,2984.7606157267724,3.354557053,200,20
180,2983.809256363129,3.747384429,200,20
190,2984.7606157267724,3.986258887,200,20
200,2986.663334454059,4.195798377,200,20
210,2986.663334454059,4.36113889,200,20
220,2985.7119750904158,4.366436558,200,20
230,2983.809256363129,4.654460308,200,20
240,2983.809256363129,4.817893175,200,20
250,2983.809256363129,4.823834505,200,20
260,2984.7606157267724,5.033022966,200,20
270,2983.809256363129,5.321127725,200,20
280,2983.809256363129,5.443321799,200,20
290,2983.809256363129,5.614371177,200,20
300,2985.7119750904158,5.638112672,200,20
310,2983.809256363129,5.648014849,200,20
320,2985.8304679346984,5.890722157,200,20
330,2984.7606157267724,6.203443606,200,20
340,2983.809256363129,6.212572257,200,20
350,2983.809256363129,6.624828668,200,20
360,2984.7606157267724,6.816947532,200,20
370,2986.663334454059,6.969875063,200,20
380,2983.809256363129,6.975015927,200,20
390,2983.809256363129,7.239657403,200,20
400,2986.663334454059,7.247881917,200,20
410,2983.809256363129,7.262930539,200,20
420,2984.2874232086424,7.269515801,200,20
430,2985.238782572286,7.661785362,200,20
440,2983.809256363129,7.987433617,200,20
450,2983.809256363129,7.993234149,200,20
460,2990.4816943428245,8.329725351,200,20
470,2983.809256363129,8.335938385,200,20
480,2995.770870133493,8.625094483,200,20
490,2983.809256363129,8.639559406,200,20
500,2984.7606157267724,8.644966824,200,20
510,2996.857960131344,8.891946026,200,20
520,2984.2874232086424,9.038649576,200,20
530,2984.2874232086424,9.413198695,200,20
540,2984.2874232086424,9.606920778,200,20
550,3024.0791505284014,10.143970523,200,20
560,2984.2874232086424,10.150082727,200,20
570,2984.2874232086424,10.219176439,200,20
580,2984.2874232086424,10.225550433,200,20
