a,b,c
10,1611.7615363808106,0.007808411
20,1762.8206754126927,0.008056007
30,1876.0453940417742,0.008267424
40,2069.7690789153094,0.008469232
50,2256.27332207708,0.008664686
60,2287.3602630623436,0.008876195
70,2409.8094058801453,0.009087504
80,2536.0372405510534,0.009324389
90,2624.080397042825,0.009518276
100,2624.080397042825,0.009732624
110,2624.080397042825,0.009969645
120,2624.080397042825,0.010175649
130,2656.3550837831317,0.010387766
140,2659.62805987024,0.0106197
150,2659.62805987024,0.010820755
160,2696.774661729325,0.011023501
170,2696.774661729325,0.011226114
180,2696.774661729325,0.011436329
190,2696.774661729325,0.011611716
200,2696.774661729325,0.011783319
210,2696.774661729325,0.012283809
220,2696.774661729325,0.012375065
230,2696.774661729325,0.012489975
240,2696.774661729325,0.012641731
250,2696.774661729325,0.012900074
260,2696.774661729325,0.012983802
270,2696.774661729325,0.013072485
280,2696.774661729325,0.01316338
290,2696.774661729325,0.013276205
300,2696.774661729325,0.013392907
310,2696.774661729325,0.013509047
320,2696.774661729325,0.01361884
330,2696.774661729325,0.013719231
340,2696.774661729325,0.013804316
350,2696.774661729325,0.01389989
360,2696.774661729325,0.013986447
370,2696.774661729325,0.01413786
380,2696.774661729325,0.014222392
390,2696.774661729325,0.01430728
400,2696.774661729325,0.01439057
410,2696.774661729325,0.01447422
420,2696.774661729325,0.014556802
430,2696.774661729325,0.01465089
440,2696.774661729325,0.014736802
450,2696.774661729325,0.014821189
460,2696.774661729325,0.014908274
470,2696.774661729325,0.014995582
480,2696.774661729325,0.015082051
490,2696.774661729325,0.015169964
500,2696.774661729325,0.015259731
510,2696.774661729325,0.015359266
520,2696.774661729325,0.015448811
530,2696.774661729325,0.015539164
540,2696.774661729325,0.015627199
550,2696.774661729325,0.015714746
560,2696.774661729325,0.015808506
570,2696.774661729325,0.015897805
580,2696.774661729325,0.016017591
590,2696.774661729325,0.016180019
600,2696.774661729325,0.016276089
610,2696.774661729325,0.016383922
620,2696.774661729325,0.016488211
630,2696.774661729325,0.016591522
640,2696.774661729325,0.016692857
650,2696.774661729325,0.016796554
660,2696.774661729325,0.01692589
670,2696.774661729325,0.017046107
680,2696.774661729325,0.017152062
690,2696.774661729325,0.017301405
700,2696.774661729325,0.017402937
710,2696.774661729325,0.017489624
720,2696.774661729325,0.017576681
730,2696.774661729325,0.017666744
740,2696.774661729325,0.017762737
750,2696.774661729325,0.017853297
760,2696.774661729325,0.017946992
770,2696.774661729325,0.018043881
780,2696.774661729325,0.01815019
790,2696.774661729325,0.018272561
800,2696.774661729325,0.018371109
810,2696.774661729325,0.018466185
820,2696.774661729325,0.018566066
830,2696.774661729325,0.018659437
840,2696.774661729325,0.01878809
850,2696.774661729325,0.018884705
