a,b,c,d,e
10,2033.248870490871,2.8277E-5,100.0,0.95
20,2033.248870490871,0.239614785,100.0,0.95
30,2022.3708614963648,0.239656758,100.0,0.95
40,1972.958783294011,0.239689123,100.0,0.95
50,1947.6060236081553,0.239720763,100.0,0.95
60,1947.6060236081553,0.239756664,100.0,0.95
70,1948.6260885063125,0.239788879,100.0,0.95
80,1948.6260885063125,0.239820499,100.0,0.95
90,1948.6260885063125,0.239851632,100.0,0.95
100,1970.1736989881492,0.239882325,100.0,0.95
110,1943.4435582316728,0.239914465,100.0,0.95
120,1927.18620165924,0.239947873,100.0,0.95
130,1889.3873490348333,0.239980759,100.0,0.95
140,1953.936722515446,0.240012874,100.0,0.95
150,1953.936722515446,0.240045205,100.0,0.95
160,2094.031482731457,0.240078613,100.0,0.95
170,2094.031482731457,0.240112827,100.0,0.95
180,2094.031482731457,0.240145745,100.0,0.95
190,2094.031482731457,0.24018078,100.0,0.95
200,2229.531718615338,0.240218642,100.0,0.95
210,2229.531718615338,0.240253572,100.0,0.95
220,2207.370698758916,0.240291984,100.0,0.95
230,2273.8537583281814,0.240327373,100.0,0.95
240,2273.8537583281814,0.240364083,100.0,0.95
250,2273.8537583281814,0.240402887,100.0,0.95
260,2273.8537583281814,0.240441309,100.0,0.95
270,2287.9576628928467,0.240478404,100.0,0.95
280,2287.9576628928467,0.240516263,100.0,0.95
290,2287.9576628928467,0.240556198,100.0,0.95
300,2213.6644591746763,0.240594208,100.0,0.95
310,2213.6644591746763,0.24063129,100.0,0.95
320,2213.6644591746763,0.240673812,100.0,0.95
330,2213.6644591746763,0.24071762,100.0,0.95
340,2213.6644591746763,0.240756244,100.0,0.95
350,2224.5424681691825,0.24079507,100.0,0.95
360,2204.6211618508805,0.240836745,100.0,0.95
370,2204.6211618508805,0.240877414,100.0,0.95
380,2204.6211618508805,0.240916517,100.0,0.95
390,2303.445318255588,0.240954348,100.0,0.95
400,2303.445318255588,0.240994075,100.0,0.95
410,2337.567124649315,0.241036164,100.0,0.95
420,2337.567124649315,0.241076115,100.0,0.95
430,2337.567124649315,0.241114355,100.0,0.95
440,2337.567124649315,0.241155559,100.0,0.95
