a,b,c,d,e,f
10,0.0551883373763705,0.002574263,200,50,40
20,0.06199681848938957,0.00541198,200,50,40
30,0.06304884383382708,0.007577256,200,50,40
40,0.06508044742827367,0.009205735,200,50,40
50,0.07222216250955821,0.010778789,200,50,40
60,0.07036303219997604,0.012358231,200,50,40
70,0.07036303219997604,0.014646313,200,50,40
80,0.07321078627632546,0.016278464,200,50,40
90,0.07959481206263885,0.018101313,200,50,40
100,0.07998738925042792,0.019975264,200,50,40
110,0.07998738925042792,0.02376888,200,50,40
120,0.08949401868281003,0.02550535,200,50,40
130,0.08949401868281003,0.027939128,200,50,40
140,0.08975943508897717,0.030332634,200,50,40
150,0.09400651447462456,0.223257441,200,50,40
160,0.09400651447462456,0.224130244,200,50,40
170,0.09664829987469344,0.225278286,200,50,40
180,0.09664829987469344,0.226100181,200,50,40
190,0.09764133418509537,0.227605606,200,50,40
200,0.09764133418509537,0.228956221,200,50,40
210,0.09764133418509537,0.229892558,200,50,40
220,0.1067295176908749,0.230843395,200,50,40
230,0.1067295176908749,0.231681421,200,50,40
240,0.1067295176908749,0.232604223,200,50,40
250,0.10056984139676485,0.362366704,200,50,40
260,0.10807377344196197,0.489266082,200,50,40
270,0.11113181363575636,0.49385769,200,50,40
280,0.11163361239042292,0.496072455,200,50,40
290,0.1062654619070281,0.497754852,200,50,40
300,0.11178673351356617,0.500043862,200,50,40
310,0.09993010631188878,0.710014739,200,50,40
320,0.10150278735819547,0.712686389,200,50,40
330,0.11078249714745554,0.768089477,200,50,40
340,0.11078249714745554,0.989690374,200,50,40
350,0.12011422083761884,0.992629701,200,50,40
360,0.1108397176388613,0.994772541,200,50,40
370,0.1108397176388613,1.085891126,200,50,40
380,0.11459789452436182,1.087842256,200,50,40
390,0.11459789452436182,1.340584681,200,50,40
400,0.11893109180578706,1.393789505,200,50,40
410,0.11893109180578706,1.395999097,200,50,40
420,0.11893109180578706,1.573168977,200,50,40
430,0.11893109180578706,1.636121483,200,50,40
440,0.11893109180578706,1.700503588,200,50,40
450,0.11791240971844974,1.702907307,200,50,40
460,0.11791240971844974,1.773389102,200,50,40
470,0.12244168104016978,1.834250872,200,50,40
480,0.12244168104016978,2.010539816,200,50,40
490,0.1278600262397781,2.047448586,200,50,40
500,0.1238760311556085,2.158505363,200,50,40
510,0.134669871005266,2.159289994,200,50,40
520,0.134669871005266,2.236004138,200,50,40
530,0.134669871005266,2.297475588,200,50,40
540,0.1290824839585722,2.357901917,200,50,40
550,0.12708713199549498,2.359867937,200,50,40
560,0.12708713199549498,2.362189497,200,50,40
570,0.14132789274920787,2.425604922,200,50,40
580,0.14132789274920787,2.427744937,200,50,40
590,0.14132789274920787,2.485550484,200,50,40
600,0.13884865219852072,2.707540175,200,50,40
610,0.13884865219852072,2.848177108,200,50,40
620,0.1339030365715631,2.921177562,200,50,40
630,0.1339030365715631,2.981120572,200,50,40
640,0.1339030365715631,2.98342422,200,50,40
650,0.13017574148265534,2.985873928,200,50,40
660,0.1284321869187515,3.055574419,200,50,40
670,0.1315926806051506,3.172896259,200,50,40
680,0.1284321869187515,3.233348245,200,50,40
690,0.13111963490139683,3.302515125,200,50,40
700,0.13263708070354885,3.367198898,200,50,40
710,0.13111963490139683,3.497558681,200,50,40
720,0.13111963490139683,3.500208409,200,50,40
730,0.12578874898559156,3.502066701,200,50,40
740,0.12578874898559156,3.503395326,200,50,40
750,0.13617214366035185,3.566855614,200,50,40
760,0.13617214366035185,3.568071783,200,50,40
770,0.1427104902677027,3.959354035,200,50,40
780,0.13984913644294655,3.961611255,200,50,40
790,0.13984913644294655,3.963753147,200,50,40
800,0.13984913644294655,4.06654478,200,50,40
810,0.14367991338031194,4.187290441,200,50,40
820,0.14367991338031194,4.188732676,200,50,40
830,0.14367991338031194,4.263270661,200,50,40
840,0.14907641086185539,4.328157516,200,50,40
850,0.14907641086185539,4.534193077,200,50,40
860,0.16351869779208938,4.59481348,200,50,40
870,0.16351869779208938,4.597205317,200,50,40
880,0.16351869779208938,4.684188736,200,50,40
890,0.16351869779208938,4.76605975,200,50,40
900,0.1650963732335447,5.026812816,200,50,40
910,0.16372145602082544,5.029128808,200,50,40
920,0.16372145602082544,5.031445985,200,50,40
930,0.16372145602082544,5.033437246,200,50,40
940,0.16372145602082544,5.036312482,200,50,40
950,0.14889428158694756,5.039135747,200,50,40
960,0.1495285968375069,5.050039638,200,50,40
970,0.14959260856428475,5.052311021,200,50,40
980,0.15257712352912908,5.056387513,200,50,40
990,0.15827729981492067,5.060823317,200,50,40
1000,0.15827729981492067,5.063379468,200,50,40
1010,0.15827729981492067,5.066218105,200,50,40
1020,0.15827729981492067,5.074274973,200,50,40
1030,0.15257712352912908,5.076489793,200,50,40
1040,0.15955526447954183,5.078062266,200,50,40
1050,0.15955526447954183,5.07980465,200,50,40
1060,0.1607595588522599,5.248382618,200,50,40
1070,0.1607595588522599,5.323602259,200,50,40
1080,0.1607595588522599,5.392906878,200,50,40
1090,0.1607595588522599,5.394627402,200,50,40
1100,0.1582395198493014,5.463177502,200,50,40
1110,0.1582395198493014,5.463934954,200,50,40
1120,0.1582395198493014,5.600372788,200,50,40
1130,0.15859999835832014,5.743319981,200,50,40
1140,0.15859999835832014,5.745726906,200,50,40
1150,0.1608447057219552,5.747621888,200,50,40
1160,0.1608447057219552,5.749903753,200,50,40
1170,0.16089760288978888,5.813515062,200,50,40
1180,0.16089760288978888,5.878477822,200,50,40
1190,0.1582395198493014,5.932938044,200,50,40
1200,0.16274426142444573,5.938381682,200,50,40
1210,0.17226669327532718,5.940738915,200,50,40
1220,0.17226669327532718,5.942405555,200,50,40
1230,0.17226669327532718,5.944506559,200,50,40
1240,0.17226669327532718,5.991717427,200,50,40
1250,0.17226669327532718,6.089672465,200,50,40
1260,0.17226669327532715,6.091381793,200,50,40
1270,0.15877954595717317,6.092534212,200,50,40
1280,0.16273027244698757,6.093447133,200,50,40
1290,0.16138342460540978,6.206414928,200,50,40
1300,0.16343406818414563,6.28402491,200,50,40
1310,0.18621010885115583,6.30498463,200,50,40
1320,0.18621010885115583,6.307029018,200,50,40
1330,0.18621010885115583,6.308838315,200,50,40
1340,0.18621010885115583,6.312463207,200,50,40
1350,0.18621010885115583,6.376271448,200,50,40
1360,0.18621010885115583,6.528849066,200,50,40
1370,0.18621010885115583,6.59865222,200,50,40
1380,0.18621010885115583,6.673538646,200,50,40
1390,0.17485296425528488,6.80752908,200,50,40
1400,0.17802092560420002,6.875409588,200,50,40
1410,0.18621010885115583,6.947437933,200,50,40
1420,0.18621010885115583,7.006618465,200,50,40
1430,0.18621010885115583,7.008526596,200,50,40
1440,0.17986949740209,7.010538438,200,50,40
1450,0.1798694974020901,7.072072055,200,50,40
1460,0.1798694974020901,7.150336183,200,50,40
1470,0.16977483042494237,7.151124241,200,50,40
1480,0.16977483042494237,7.218225134,200,50,40
1490,0.1740477994740978,7.220291054,200,50,40
1500,0.1740477994740978,7.222248092,200,50,40
1510,0.17404779947409776,7.22436315,200,50,40
1520,0.1710294995840825,7.354793779,200,50,40
