a,b,c,d,e,f
10,0.049191086849962554,0.050887099,500,100,40
20,0.05185754219736849,0.057771488,500,100,40
30,0.05341531513919404,0.13456572,500,100,40
40,0.05580665767332849,0.138866789,500,100,40
50,0.05580665767332849,0.328232981,500,100,40
60,0.0574682922184275,0.334247188,500,100,40
70,0.0574682922184275,0.349769339,500,100,40
80,0.06108605216680379,0.35406993,500,100,40
90,0.06279927280558066,0.404440059,500,100,40
100,0.06997875401244022,0.667235199,500,100,40
110,0.07004799920719086,0.682843686,500,100,40
120,0.06666356475757215,0.727455156,500,100,40
130,0.07111075458712525,0.73272802,500,100,40
140,0.07366262037489624,1.021770902,500,100,40
150,0.0713567345947347,1.030812161,500,100,40
160,0.07645162135642271,1.035726451,500,100,40
170,0.07645162135642271,1.059219117,500,100,40
180,0.07645162135642271,1.064043671,500,100,40
190,0.0772589845853477,1.129738881,500,100,40
200,0.08007973452480634,1.14064337,500,100,40
210,0.08448547466095464,1.233205566,500,100,40
220,0.08448547466095464,1.237930306,500,100,40
230,0.08448547466095464,1.320293146,500,100,40
240,0.08490664261491337,1.324999246,500,100,40
250,0.08448547466095464,1.387076126,500,100,40
260,0.08959962026665577,1.391555617,500,100,40
270,0.08448547466095464,1.480159128,500,100,40
280,0.08452952917983816,1.48414395,500,100,40
290,0.08452952917983816,1.4879509,500,100,40
300,0.09110867881342197,1.566105312,500,100,40
310,0.09409200672663852,1.569869811,500,100,40
320,0.09108246088571843,1.573840468,500,100,40
330,0.09108246088571843,1.667014981,500,100,40
340,0.09634862453459754,1.670938368,500,100,40
350,0.09634862453459754,1.740328396,500,100,40
360,0.09634862453459754,1.79109413,500,100,40
370,0.09634862453459754,1.798385152,500,100,40
380,0.0991490123610112,1.850922921,500,100,40
390,0.09717332704823858,1.854578588,500,100,40
400,0.09892559373230385,1.928376711,500,100,40
410,0.10134889942980563,1.932844731,500,100,40
420,0.10237637438205255,1.93669499,500,100,40
430,0.10523177378863938,2.000085168,500,100,40
440,0.10523177378863938,2.00427362,500,100,40
450,0.10632265364079087,2.130253918,500,100,40
460,0.11329352637589786,2.134139926,500,100,40
470,0.11329352637589786,2.138323262,500,100,40
480,0.11329352637589786,2.212905753,500,100,40
490,0.11811299633628357,2.216309894,500,100,40
500,0.11811299633628357,2.284561464,500,100,40
510,0.11811299633628357,2.293834466,500,100,40
520,0.1217755667315623,2.298986232,500,100,40
530,0.11811299633628357,2.397943902,500,100,40
540,0.11811299633628357,2.410208682,500,100,40
550,0.11811299633628357,2.415465126,500,100,40
560,0.11893285803220437,2.419561172,500,100,40
570,0.12261611716031372,2.425219302,500,100,40
580,0.12261611716031372,2.608029187,500,100,40
590,0.12299464832373001,2.612505794,500,100,40
600,0.12299464832373001,2.670844694,500,100,40
610,0.12315524692981587,2.680182343,500,100,40
620,0.12299464832373001,2.684207926,500,100,40
630,0.12299464832373001,2.753869896,500,100,40
640,0.12299464832373001,2.759816396,500,100,40
650,0.12299464832373001,2.763620856,500,100,40
660,0.12299464832373001,2.882713467,500,100,40
670,0.1349108433543804,2.886434482,500,100,40
680,0.1349108433543804,2.890126085,500,100,40
690,0.13616854962095018,3.001315595,500,100,40
700,0.13017474072156915,3.005053427,500,100,40
710,0.1253784466357151,3.009196099,500,100,40
720,0.13212923190462747,3.015411835,500,100,40
730,0.13212923190462747,3.01917425,500,100,40
740,0.12575913462939675,3.201968013,500,100,40
750,0.1253784466357151,3.207210337,500,100,40
760,0.13122121102110104,3.210569634,500,100,40
770,0.13579585228017396,3.302262517,500,100,40
780,0.13189933244220528,3.305973388,500,100,40
790,0.13309203174143996,3.309157397,500,100,40
800,0.13309203174143996,3.401667698,500,100,40
810,0.13309203174143996,3.406385534,500,100,40
820,0.13189933244220528,3.499172626,500,100,40
830,0.13976026544524353,3.503516949,500,100,40
840,0.13976026544524353,3.507605976,500,100,40
850,0.13976026544524353,3.61840839,500,100,40
860,0.13976026544524353,3.623999886,500,100,40
870,0.13976026544524353,3.682938959,500,100,40
880,0.13976026544524353,3.688474494,500,100,40
890,0.13569784256116524,3.79383834,500,100,40
900,0.13569784256116524,3.80024121,500,100,40
910,0.13824083168611725,3.898870001,500,100,40
920,0.13824083168611725,3.971121766,500,100,40
930,0.13996305901951064,3.976182254,500,100,40
940,0.13824083168611725,4.063852848,500,100,40
950,0.13824083168611725,4.077337536,500,100,40
960,0.13824083168611725,4.08180525,500,100,40
970,0.13824083168611725,4.154043559,500,100,40
980,0.13434027698474788,4.165511235,500,100,40
990,0.13434027698474788,4.171604556,500,100,40
1000,0.13537086515943744,4.343465469,500,100,40
1010,0.13553011011772415,4.348277274,500,100,40
1020,0.13553011011772415,4.353215714,500,100,40
1030,0.14665766457053883,4.420437431,500,100,40
1040,0.13587700083325904,4.434090931,500,100,40
1050,0.14548199330256115,4.50828769,500,100,40
1060,0.14025828791551637,4.512565377,500,100,40
1070,0.14335537970128365,4.641564685,500,100,40
1080,0.14335537970128365,4.646778579,500,100,40
1090,0.14697100197924348,4.651292789,500,100,40
1100,0.14697100197924348,4.724314971,500,100,40
1110,0.14697100197924348,4.728037049,500,100,40
1120,0.14697100197924348,4.79597693,500,100,40
1130,0.14697100197924348,4.799843606,500,100,40
1140,0.1471944523355076,4.803757598,500,100,40
1150,0.1471944523355076,4.86538214,500,100,40
1160,0.1471944523355076,4.868609978,500,100,40
1170,0.1471944523355076,4.872160778,500,100,40
1180,0.14697100197924345,4.98187858,500,100,40
1190,0.14697100197924348,4.985438512,500,100,40
1200,0.14697100197924345,5.058572463,500,100,40
1210,0.14697100197924345,5.063665811,500,100,40
1220,0.14697100197924345,5.06727374,500,100,40
1230,0.15144628132336596,5.174643967,500,100,40
1240,0.15144628132336596,5.180191015,500,100,40
1250,0.14726500591163658,5.183654582,500,100,40
1260,0.14726500591163658,5.203240333,500,100,40
1270,0.15175724010555194,5.206690857,500,100,40
1280,0.14726500591163658,5.21071568,500,100,40
1290,0.15055003879964046,5.33396045,500,100,40
1300,0.15055003879964046,5.337411213,500,100,40
1310,0.15055003879964046,5.432846825,500,100,40
1320,0.14697100197924345,5.438176491,500,100,40
1330,0.15520805563372153,5.441784431,500,100,40
1340,0.15520805563372153,5.520813286,500,100,40
1350,0.15520805563372153,5.524218566,500,100,40
1360,0.15520805563372153,5.527884748,500,100,40
1370,0.15520805563372153,5.692556231,500,100,40
