a,b,c,d,e
10,0.049615914696033374,0.476745662,200,100
20,0.05387511545079447,0.929179064,200,100
30,0.05217415207934452,1.406571097,200,100
40,0.05415796045085763,1.958047992,200,100
50,0.058273507287876725,2.392345004,200,100
60,0.06123134228884051,2.797535934,200,100
70,0.06433493279499071,3.217726711,200,100
80,0.06230288609929047,3.687887993,200,100
90,0.06675952252433778,4.223466109,200,100
100,0.06590194429147396,4.612076263,200,100
110,0.06892995506030894,5.027904471,200,100
120,0.07124247632193555,5.405307508,200,100
130,0.07167609525509436,5.804414282,200,100
140,0.07356328591123196,6.200632238,200,100
150,0.07530008896897047,6.602262949,200,100
160,0.07513890084439116,7.023389316,200,100
170,0.07554587986255969,7.339887331,200,100
180,0.07595082526437469,7.671920384,200,100
190,0.07780361544996925,7.99080053,200,100
200,0.07801628877913037,8.277306661,200,100
210,0.07786283456595106,8.555614772,200,100
220,0.07887382538569129,8.929854334,200,100
230,0.0792272827910038,9.199832669,200,100
240,0.07954370449882633,9.491540353,200,100
250,0.0798012628181154,9.820760633,200,100
260,0.07979382375923127,10.064269849,200,100
270,0.08107941092852564,10.406229435,200,100
280,0.08133591900161367,10.756368705,200,100
290,0.08110758002287179,10.910943824,200,100
300,0.08681746088889793,11.238826417,200,100
310,0.0807021836964444,11.50005504,200,100
320,0.08185366082223018,11.726871297,200,100
330,0.0801462887775635,12.026080614,200,100
340,0.0801462887775635,12.369081676,200,100
350,0.07992745969600278,12.628304042,200,100
360,0.0792272827910038,12.928026457,200,100
370,0.07925293318496257,13.174191654,200,100
380,0.08101370768875939,13.40018795,200,100
390,0.07941767981159463,13.512975184,200,100
400,0.08083805435209042,13.659331431,200,100
410,0.07993300811757105,13.762763654,200,100
420,0.07925293318496257,13.918034737,200,100
430,0.0792272827910038,14.013138912,200,100
440,0.08123287798108149,14.160608539,200,100
450,0.0799602890470881,14.276448606,200,100
460,0.07801628877913037,14.367666717,200,100
470,0.0785469026340628,14.512573453,200,100
480,0.08050747432640722,14.659272483,200,100
490,0.07857282845517186,14.797563665,200,100
500,0.08107943114639923,14.992786202,200,100
510,0.07957966140378364,15.113681865,200,100
520,0.08016375767092423,15.230280054,200,100
530,0.07918034731444991,15.334320197,200,100
540,0.07918034731444991,15.406192222,200,100
550,0.08043785378348843,15.539448091,200,100
560,0.08382275324801888,15.613106054,200,100
570,0.07816419247847828,15.708604422,200,100
580,0.07801628877913037,15.821823904,200,100
590,0.07989431801463708,15.989595724,200,100
600,0.08112144043813868,16.119211195,200,100
610,0.079800041802158,16.232086118,200,100
620,0.079800041802158,16.339605785,200,100
630,0.07927801766198209,16.553459555,200,100
640,0.07877828649659119,16.678042678,200,100
650,0.07816376041411384,16.784476706,200,100
660,0.07877828649659119,16.929334904,200,100
670,0.08023337139618512,17.037229875,200,100
680,0.08029733994490403,17.117088296,200,100
690,0.0791031746500293,17.299119956,200,100
700,0.08083615184337144,17.372668221,200,100
710,0.08097730083836714,17.478032089,200,100
720,0.07946744759778121,17.55455538,200,100
730,0.07947110131524981,17.784532575,200,100
740,0.07946744759778121,17.892341263,200,100
750,0.08103088701018042,18.005237985,200,100
760,0.07969338258786175,18.138544298,200,100
770,0.07996742970321648,18.240583876,200,100
780,0.07987092856714005,18.33663849,200,100
790,0.08259648091605422,18.432636112,200,100
800,0.08003322648658907,18.604297356,200,100
810,0.07802043840982721,18.804261914,200,100
820,0.07927849428642342,18.897105469,200,100
830,0.07939123008321694,18.985078063,200,100
840,0.07801628877913037,19.116144836,200,100
850,0.07999124836261454,19.209002785,200,100
860,0.08236429096505944,19.31172602,200,100
870,0.07999124836261454,19.429657249,200,100
880,0.07999124836261454,19.529455159,200,100
890,0.07801628877913037,19.701800295,200,100
900,0.07999124836261454,19.859353603,200,100
910,0.07999124836261454,19.975251926,200,100
920,0.07999124836261454,20.188200995,200,100
930,0.07999124836261454,20.405720638,200,100
940,0.07906468921564945,20.635930069,200,100
950,0.0794970341583327,20.73983389,200,100
960,0.07956680792531044,20.863018334,200,100
970,0.08055573198108952,20.942539169,200,100
980,0.0781814834127819,21.073854355,200,100
990,0.07861741602001256,21.213350071,200,100
1000,0.07801628877913037,21.334985256,200,100
10,0.05311862333680385,0.495701951,200,100
20,0.05067027971946974,0.893292596,200,100
30,0.05449976146618177,1.310697464,200,100
40,0.05729461033570694,1.832416752,200,100
50,0.054233120859694416,2.25361091,200,100
60,0.055058811183822415,2.67874976,200,100
70,0.05689216896840122,3.129332249,200,100
80,0.061018774806821226,3.520044758,200,100
90,0.062428161778538833,3.916691375,200,100
100,0.06494332319589276,4.451521334,200,100
110,0.06673538452505134,4.748792,200,100
120,0.07086200635920846,5.193841539,200,100
130,0.07084558557392258,5.486993783,200,100
140,0.07084558557392258,5.839482998,200,100
150,0.07348854554306548,6.275328389,200,100
160,0.07347821692435397,6.547402965,200,100
170,0.07393238830026119,6.937544662,200,100
180,0.07271359843386682,7.245797125,200,100
190,0.07503435646288838,7.535341989,200,100
200,0.07436390392691333,7.938153439,200,100
210,0.07637452090017884,8.254045404,200,100
220,0.07482416364456126,8.538985778,200,100
230,0.075984789415138,8.79649884,200,100
240,0.0750193062466524,9.106673671,200,100
