a,b,c
10,0.03998910969883682,2.51632E-4
20,0.040421901662231766,5.3046E-4
30,0.040421901662231766,8.14407E-4
40,0.040421901662231766,0.001094175
50,0.040421901662231766,0.001381856
60,0.040421901662231766,0.001667368
70,0.040421901662231766,0.001953407
80,0.040461342038897175,0.002208346
90,0.040461342038897175,0.00246282
100,0.040461342038897175,0.002710488
110,0.04060619416646593,0.002975726
120,0.04060619416646593,0.003232487
130,0.04086558442191922,0.00349659
140,0.04086558442191922,0.003761468
150,0.04086558442191922,0.00403188
160,0.042398792591038556,0.004283547
170,0.042398792591038556,0.004527661
180,0.042398792591038556,0.004786366
190,0.042398792591038556,0.005056861
200,0.042398792591038556,0.005323897
210,0.042398792591038556,0.005572852
220,0.042398792591038556,0.005825702
230,0.04311347658946421,0.006084022
240,0.04311347658946421,0.006343993
250,0.044587083171294464,0.006613513
260,0.044587083171294464,0.006887135
270,0.044587083171294464,0.007152962
280,0.044587083171294464,0.007439625
290,0.04495593554030081,0.007695736
300,0.04495593554030081,0.007945847
310,0.04495593554030081,0.008230853
320,0.04495593554030081,0.0099529
330,0.04495593554030081,0.01019422
340,0.04495593554030081,0.010433107
350,0.04495593554030081,0.01067232
360,0.04495593554030081,0.010912671
370,0.04495593554030081,0.011165795
380,0.04495593554030081,0.034435202
390,0.045965336774175296,0.034506688
400,0.045965336774175296,0.034569487
410,0.045965336774175296,0.034637986
420,0.04859067478418352,0.034706783
430,0.04859067478418352,0.034813551
440,0.04859067478418352,0.03488541
450,0.04859067478418352,0.034948987
460,0.04859067478418352,0.03502091
470,0.04859067478418352,0.035120705
480,0.04859067478418352,0.03518876
490,0.04859067478418352,0.03525534
500,0.04894355539573705,0.03532367
510,0.04894355539573705,0.035394401
520,0.04894355539573705,0.035486852
530,0.04894355539573705,0.035548933
540,0.04894355539573705,0.035609886
550,0.04894355539573705,0.035680165
560,0.04894355539573705,0.035742313
570,0.04894355539573705,0.035811283
580,0.04894355539573705,0.035876747
590,0.04894355539573705,0.035943368
600,0.04894355539573705,0.036009731
610,0.04894355539573705,0.036080267
620,0.04894355539573705,0.036148466
630,0.04894355539573705,0.036223762
640,0.04894355539573705,0.036297103
650,0.04894355539573705,0.036375602
660,0.04894355539573705,0.036458928
670,0.04894355539573705,0.036533307
680,0.049115199274417674,0.037429866
690,0.049115199274417674,0.037505386
700,0.049115199274417674,0.040871301
710,0.049115199274417674,0.040962998
720,0.049115199274417674,0.04105618
730,0.049115199274417674,0.041149522
740,0.049115199274417674,0.041240407
750,0.049115199274417674,0.041332236
760,0.049115199274417674,0.041425082
770,0.049115199274417674,0.041530718
780,0.049115199274417674,0.041624813
790,0.049115199274417674,0.042534192
800,0.049115199274417674,0.042653395
810,0.049115199274417674,0.042754145
820,0.049115199274417674,0.042857263
830,0.049162521933640894,0.043156731
840,0.049162521933640894,0.043244471
850,0.04944978887331878,0.044030342
860,0.04944978887331878,0.044140621
870,0.05054840789273646,0.0442578
880,0.05054840789273646,0.044344908
890,0.05054840789273646,0.044445563
900,0.05054840789273646,0.044582711
910,0.05054840789273646,0.044698932
920,0.05054840789273646,0.044800395
930,0.05154039007245207,0.045181706
940,0.05154039007245207,0.078577818
950,0.05154039007245207,0.078677922
960,0.05154039007245207,0.078737892
970,0.05154039007245207,0.078789188
980,0.05154039007245207,0.078849432
990,0.05154039007245207,0.078900882
1000,0.05154039007245207,0.078964547
1010,0.05192349131725455,0.079017773
1020,0.05192349131725455,0.079068033
1030,0.05192349131725455,0.079113933
1040,0.053784153202473574,0.079161671
1050,0.05546381614666347,0.079208766
1060,0.05546381614666347,0.079251522
1070,0.05546381614666347,0.079291705
1080,0.05546381614666347,0.079331323
1090,0.05546381614666347,0.079372862
1100,0.0562132140498276,0.079467793
1110,0.056696972905500694,0.079549612
1120,0.056696972905500694,0.079628998
1130,0.056696972905500694,0.079705931
1140,0.056696972905500694,0.079792655
1150,0.05762029869042129,0.07988561
1160,0.05762029869042129,0.079947492
1170,0.05762029869042129,0.080020747
1180,0.05762029869042129,0.080121126
1190,0.05762029869042129,0.080224545
1200,0.05762029869042129,0.080309371
1210,0.05762029869042129,0.080362633
1220,0.05762029869042129,0.08041309
1230,0.05762029869042129,0.080461118
1240,0.05762029869042129,0.08050777
1250,0.05762029869042129,0.080559701
1260,0.05762029869042129,0.080606592
1270,0.05762029869042129,0.080654912
1280,0.05762029869042129,0.080703225
1290,0.05762029869042129,0.080751195
1300,0.05762029869042129,0.080797705
1310,0.05762029869042129,0.080846723
1320,0.05762029869042129,0.080924448
1330,0.059173516300291794,0.081065715
1340,0.059173516300291794,0.081160293
1350,0.059173516300291794,0.081288945
1360,0.060827061224739715,0.081386375
1370,0.060827061224739715,0.081441311
1380,0.060827061224739715,0.081493891
1390,0.060827061224739715,0.081550565
1400,0.060827061224739715,0.081601663
1410,0.060827061224739715,0.081652865
1420,0.060827061224739715,0.08170589
1430,0.060827061224739715,0.081759182
1440,0.060827061224739715,0.081815561
1450,0.060827061224739715,0.081894388
1460,0.060827061224739715,0.082009025
1470,0.060827061224739715,0.082095893
1480,0.060827061224739715,0.082153822
1490,0.060827061224739715,0.082211875
1500,0.060827061224739715,0.082267851
1510,0.06103490891277787,0.082352626
1520,0.06103490891277787,0.082415063
1530,0.06103490891277787,0.08248732
1540,0.06103490891277787,0.082543708
1550,0.06103490891277787,0.082596027
1560,0.06103490891277787,0.082650705
1570,0.06103490891277787,0.082703411
1580,0.06103490891277787,0.08275816
1590,0.06138571732272545,0.082815408
1600,0.06138571732272545,0.082873716
1610,0.06138571732272545,0.082930383
1620,0.06138571732272545,0.082986187
1630,0.06138571732272545,0.083040313
1640,0.06138571732272545,0.083095706
1650,0.06138571732272545,0.083150993
1660,0.06138571732272545,0.083206855
1670,0.06138571732272545,0.083261
1680,0.06138571732272545,0.083316611
1690,0.06138571732272545,0.083373003
1700,0.06138571732272545,0.083430751
1710,0.06138571732272545,0.083494365
1720,0.06138571732272545,0.083556193
1730,0.06138571732272545,0.083615865
1740,0.06138571732272545,0.08367553
1750,0.061667829784374836,0.083732143
1760,0.061667829784374836,0.083790782
1770,0.06197541742921855,0.083849968
1780,0.06197541742921855,0.08390577
1790,0.06207625109485318,0.083961772
1800,0.06207625109485318,0.084018232
1810,0.0632935930889199,0.084074025
1820,0.0632935930889199,0.084132432
1830,0.0632935930889199,0.084191355
1840,0.0632935930889199,0.084246427
1850,0.0632935930889199,0.084304607
1860,0.0632935930889199,0.08436393
1870,0.0632935930889199,0.084429735
1880,0.06395779876666041,0.084486768
1890,0.06395779876666041,0.084543823
1900,0.06395779876666041,0.084604011
1910,0.06395779876666041,0.084662586
1920,0.06395779876666041,0.08472105
1930,0.06395779876666041,0.08478701
1940,0.06395779876666041,0.084845841
1950,0.06395779876666041,0.084906313
1960,0.06395779876666041,0.08496946
1970,0.06395779876666041,0.085032306
1980,0.06395779876666041,0.085093101
1990,0.06395779876666041,0.085150957
2000,0.06395779876666041,0.085215435
2010,0.06395779876666041,0.085306203
2020,0.06395779876666041,0.085439301
2030,0.06506864355656425,0.085573361
2040,0.06506864355656425,0.08568118
2050,0.06506864355656425,0.085742892
2060,0.065246121307017,0.085807401
2070,0.065246121307017,0.085869692
2080,0.065246121307017,0.085931072
2090,0.065246121307017,0.085997066
2100,0.065246121307017,0.086077375
2110,0.0662152993106401,0.086134687
2120,0.0662152993106401,0.086194331
2130,0.0662152993106401,0.086253645
2140,0.0662152993106401,0.086313106
2150,0.0662152993106401,0.08637223
